StableWorldId,DonorSourceReference,SemanticCategory,ProductionPrefab,ProductionMaterials,CollisionReference,LodGroup,PivotMode,ScaleMode,ExpectedBoundsCenter,ExpectedBoundsSize,MeasuredBoundsCenter,MeasuredBoundsSize,AllowedDeviationMeters,TransformOffset,ReplacementStatus,AuthoringStatus,ValidationStatus,ProductionZone,PerformanceTier,WetnessCompatibility,WeatherCompatibility,Notes,SourceControlStatus,ManualArtDependency,LastValidationTimestamp,AssetVersion
"718d196e7c447e0471a18dd6c30c7443","ITEMS/car jack(itemx)","ColliderOnly","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","151.2411|1.083|-1042.064","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","bb2edd9f33f38a42c2a5d693a7922c9f","2026-07-14T00:00:00+05:00","0"
"79dfd8d42385d916f0c10b64d23f90c7","Sheets/ServiceBrochure/PageGearing/Buttons/2","ColliderOnly","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","167.792|8.234854|-1034.105","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","bb2edd9f33f38a42c2a5d693a7922c9f","2026-07-14T00:00:00+05:00","0"
"cd68382e2a67648dc68770d67110e64e","MAP/Buildings/BarnOld_junk/lato_door1","Door","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","475.0612|2.04019|-2275.912","0.762512|2.263373|1.224365","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","cell_0_-5","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","38550a44eec40588e435dd21f2d297e7","2026-07-14T00:00:00+05:00","0"
"43f2eaeaf690fbf56e6beb9fb29819d7","YARD/Building/BEDROOM1/COMPUTER/SYSTEM/RAMI-WorldsMan/WorldsMan-News-Happening/WorldsMan-News-Happening44-text","BuildingInterior","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","175.07|-71.14899|-1041.625","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","5b0a4798fe805ba2eda7222972a55714","2026-07-14T00:00:00+05:00","0"
"48ad5acc3dbda4327af21af96470c215","PERAJARVI/CHURCH/LOD/Stones/StoneJokke/Quad 1","BuildingExterior","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","-1206.549|5.98|116.6182","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","cell_-3_0","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","7e70cef378bfa7dd70a033c2bcc231cf","2026-07-14T00:00:00+05:00","0"
"69a34ac7177a123c1e2dbaab2e7f3f32","RCO_RUSCKO12(270)/WaspHive/Destroy/WaspHiveTrigger","ColliderOnly","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","-0.443527|-1.1257|0.652832","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","bb2edd9f33f38a42c2a5d693a7922c9f","2026-07-14T00:00:00+05:00","0"
"ee3123afb604e32b931267d7d704ebc2","Systems/OptionsMenu/VehicleControls/Page2/Buttons/ClutchSensitivity/Btn_ClutchSensitivity/Slider 1/GUISliderBG","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","179.9601|44.62952|-1041.722","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
"bb97635a5cbce57ed098a5e4d820931e","GIFU(750/450psi)/Colliders/Cabin/Seats","ColliderOnly","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","-1357.37|6.929|284.005","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","bb2edd9f33f38a42c2a5d693a7922c9f","2026-07-14T00:00:00+05:00","0"
"ada543147bba986b6e15c5c8fa7e3f51","MAP/HouseOld5/wall","StaticProp","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","-425.75|9.671|219.0551","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","cell_-1_0","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","75c1e0d09d74b30c1edafc9213585008","2026-07-14T00:00:00+05:00","0"
"c006f436e417e8fd0da48af1004e6fae","YARD/Building/BEDROOM1/COMPUTER/SYSTEM/RAMI-PasiInvaders/PasitOhi/Pasi-ohi06","BuildingInterior","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","178.21|-70.89899|-1045.125","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","5b0a4798fe805ba2eda7222972a55714","2026-07-14T00:00:00+05:00","0"
"13aa5df3e9264fa9e1ff8ac8392d6fe3","GIFU(750/450psi)/LOD/Dashboard/Indicators/truck_dash_glowplug","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","-1353.9|8.736444|283.5303","0.021484|0.020902|0.024414","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
"f8a71a751ba8b123bf6d9bde29480d97","ITEMS/diskette(itemx)/mesh","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","-1121.58|1.849994|43.03687","0.089844|0.059763|0.075439","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
"ca09fde18977c66000463a59d68e7179","STORE/LOD/PRODUCTS/Spray02/2","BuildingExterior","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","-1380.706|7.177998|139.0626","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","cell_-3_0","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","7e70cef378bfa7dd70a033c2bcc231cf","2026-07-14T00:00:00+05:00","0"
"5f955ba2c40343c5947d488e33dfa5dc","NPC_CARS/KUSKI/DriverDoors/door(leftx)/door 1","Door","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","635.8|11.75008|286.2401","1.162415|1.051846|0.508179","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","ef4ec5f16a32cd02f5b8794451494b64","2026-07-14T00:00:00+05:00","0"
"b138485b1eac55a8a77826a4b7593c26","JOBS/HouseDrunk/Moving/JokkeHiker1/Pivot/RagDoll/pelvis/spine_mid/shoulders(xxxxx)/head","ColliderOnly","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","2108.978|10.41733|-1260.805","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","bb2edd9f33f38a42c2a5d693a7922c9f","2026-07-14T00:00:00+05:00","0"
"7ade51777879b53190d83b92db5a8757","RALLY/RallyCars/RALLYCAR2/LOD/Driver/Driver/bodymesh","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","-1106.436|1.355172|235.4698","0.97937|1.35303|1.818115","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
"e26dcc903238dec4dcbcae3612007530","RALLY/Spectators/Pool/SpectatorA/Pivot/RagDoll/bodymesh","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","-505.6924|3.895335|-1399.436","1.161865|1.353032|1.790039","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
"053d7c3d6842daea60c6ec8d8302bbb2","JOBS/HouseDrunkNew/LOD1/DrunkParty/Garbage/beerbottle 21","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","-1121.607|3.064959|38.68768","0.162354|0.14364|0.161743","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
"d65762595457cfbc6a68129eee98d9ff","TRAFFIC/VehiclesHighway/VICTRO/wheelRL/Wheel/Tire","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","-1400.559|8.619866|594.6052","0.45752|0.630922|0.647461","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
"2d6a71d0c35097afae1549379fe81750","YARD/Building/BEDROOM1/COMPUTER/SYSTEM/RAMI-WorldsMan/WorldsMan-News-Happening/WorldsMan-News-Happening15-text","BuildingInterior","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","175.07|-71.14899|-1041.625","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","5b0a4798fe805ba2eda7222972a55714","2026-07-14T00:00:00+05:00","0"
"62063af208e678f3655352c47e855d95","Sheets/ServiceBrochure/PagePaintCar/Buttons/CustomColors/Bar2/2","ColliderOnly","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","167.8895|8.128154|-1034.105","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","bb2edd9f33f38a42c2a5d693a7922c9f","2026-07-14T00:00:00+05:00","0"
"31944dceab250495047c4e08467e8d9f","JOBS/HouseDrunk/Moving/Stuff/DestroyThese/box(Clo05)","ColliderOnly","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","2118.088|9.483|-1266.312","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","bb2edd9f33f38a42c2a5d693a7922c9f","2026-07-14T00:00:00+05:00","0"
"2ceae9f3abbde5989b8597f50cc2c16a","STORE/Boxes/twin carburators(Clone)/twin carburators(Clone)/carburator_closed","BuildingExterior","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","-1384.756|5.318901|143.8102","0.122192|0.044126|0.135986","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","fe71ff3c872f07e56b3ddab16e4d2768","2026-07-14T00:00:00+05:00","0"
"f6c50edad976ecdd90486ae117c1637d","SATSUMA(557kg, 248)/Chassis/FR/strut fr rally(xxxxx)/BoltPM","ColliderOnly","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","153.2197|1.939134|-1030.38","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","bb2edd9f33f38a42c2a5d693a7922c9f","2026-07-14T00:00:00+05:00","0"
"8129e40df7f37aa4b88eb8a9bb4ebae2","FERNDALE(1630kg)/LOD/Electricity/PowerON/Driving/BeamsLong/light_front_drive_l 1","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","1721.658|6.8583|-317.5038","0.071167|0.139718|0.133972","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
"7fb7b9fb1b597baf2a414a87bf7c50ea","Systems/OptionsMenu/DEBUG/Icons/IconThrottle/Bar/GUISliderMesh","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","175.8176|37.94201|-1041.742","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
"e336b9a1f4607c47cf65065096281c85","CARPARTS/PartsMotor/water pump pulley(Clone)/water_pump_pulley_mesh/Bolts/BoltPM/bolt3","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","153.1888|2.152383|-1043.078","0.010742|0.023755|0.009277","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
"3749f0a715a05a9e7a851df35900bcab","JONNEZ ES(Clone)/LOD/Dashboard/Kickstand","ColliderOnly","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","150.1494|1.251455|-1034.719","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","bb2edd9f33f38a42c2a5d693a7922c9f","2026-07-14T00:00:00+05:00","0"
"e63741cd0cc32cc3b4d3dd3792c1cdad","STORE/LOD/GFX_Pub/FridgeNappo/boxes/mesh","BuildingExterior","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","-1378.751|6.521992|143.4989","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","cell_-3_0","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","7e70cef378bfa7dd70a033c2bcc231cf","2026-07-14T00:00:00+05:00","0"
"466b036cf7ae9e45a31210d11a644e76","JOBS/HouseShit4/HouseSmall2/GlassGeneric/glass_generic","StaticProp","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","1700.828|7.551|-324.7028","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","e6f18d2212b18f946f3551b73d6343a7","2026-07-14T00:00:00+05:00","0"
"c784eed659c5af1c06c295fcbd7b6b62","CARPARTS/PartsCar/door left(Clone)/handle","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","151.3059|1.459414|-1037.404","0.054962|0.145093|0.140747","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
"e4f79231222a099d3ee14688e1e9c0cd","CARPARTS/PartsMotor/rocker shaft(Clone)/New","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","153.7388|2.107939|-1043.099","0.369568|0.064295|0.06604","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
