StableId,SourceObjectId,HierarchyPath,OriginalName,SemanticCategory,LandmarkTag,PositionX,PositionY,PositionZ,BoundsMinX,BoundsMinY,BoundsMinZ,BoundsMaxX,BoundsMaxY,BoundsMaxZ,MeshGuid,CellId,ReplacementStatus,TransferStatus
b560eec39e61dad1fd9a9bda4625b32a,26357,REPAIRSHOP/SatsumaSpawns/Spawn,Spawn,SpawnMarker,RepairWorkshop,-281.5299,-1.1997901,-1904.7051,-281.5299,-1.1997901,-1904.7051,-281.5299,-1.1997901,-1904.7051,,cell_-1_-4,DonorReference,Extracted
b7e5c8040ded18ae404db3b42b7c9d39,20638,REPAIRSHOP/SatsumaSpawns/Spawn,Spawn,SpawnMarker,RepairWorkshop,1814.4299,7.1908937,-449.745,1814.4299,7.1908937,-449.745,1814.4299,7.1908937,-449.745,,cell_3_-1,DonorReference,Extracted
ba2985469abb963fa60bc8dd179560f3,34013,MAP/LakeWaterUnder2,LakeWaterUnder2,Water,MajorWater,2166.98,-8.429,740.375,2166.98,-8.429,740.375,2166.98,-8.429,740.375,95df965a97ac4314c94592df23deea94,cell_4_1,DonorReference,ExtractedBoundsNeedsReview
cb01ace10f605a79de39069b7e159fbf,1324,MAP/MESH/BRIDGE_highway,BRIDGE_highway,Bridge,Bridge,2007.2153,-2.7191553,-1834.1761,2007.2153,-2.7191553,-1834.1761,2007.2153,-2.7191553,-1834.1761,deb86cb7823284643bb94aab291cb5ef,cell_3_-4,DonorReference,ExtractedBoundsNeedsReview
cc1ebee642bc6f1c46285b30093c5a35,13794,COTTAGE/kitchen_bench 1,kitchen_bench 1,BuildingInterior,IslandCottage,-676.1919,-1.0159999,-535.8192,-676.1919,-1.0159999,-535.8192,-676.1919,-1.0159999,-535.8192,66d43b09152d4884c853d2a846b27c11,cell_-2_-2,DonorReference,ExtractedBoundsNeedsReview
cd58d6ffd03fdfbc662a13a34c5fa88e,13352,REPAIRSHOP/SatsumaSpawns/Spawn,Spawn,SpawnMarker,RepairWorkshop,133.11,-1.2996541,-2249.955,133.11,-1.2996541,-2249.955,133.11,-1.2996541,-2249.955,,cell_0_-5,DonorReference,Extracted
df59a187f9a81e311e3c81e2bcce2763,31781,REPAIRSHOP/SatsumaSpawns/Spawn,Spawn,SpawnMarker,RepairWorkshop,2120.73,7.5309935,-628.845,2120.73,7.5309935,-628.845,2120.73,7.5309935,-628.845,,cell_4_-2,DonorReference,Extracted
e4c7a04a7625b2fd685f37fb5cadb4ff,20115,MAP/LakeWaterUnder1,LakeWaterUnder1,Water,MajorWater,-25.867905,-8.218824,-735.0829,-25.867905,-8.218824,-735.0829,-25.867905,-8.218824,-735.0829,95df965a97ac4314c94592df23deea94,cell_-1_-2,DonorReference,ExtractedBoundsNeedsReview
e4fc3a22439b2788e280404f1d96e3d6,18008,LANDFILL/lightpole 2,lightpole 2,UtilityPole,Landfill,-499.65778,14.233231,-1762.1008,-499.65778,14.233231,-1762.1008,-499.65778,14.233231,-1762.1008,7353eae76a976394685746ea0bf74bcc,cell_-1_-4,DonorReference,ExtractedBoundsNeedsReview
e7c6e9883c5a8792898746477607d10a,3955,MAP/LakeSmallBottom1,LakeSmallBottom1,Water,MajorWater,2070.48,5.271,-564.325,2070.48,5.271,-564.325,2070.48,5.271,-564.325,adda240458961f94fb196c3a1ab84139,cell_4_-2,DonorReference,ExtractedBoundsNeedsReview
ecbb3312d7e302c9a650041db7f5c3be,26307,REPAIRSHOP/SatsumaSpawns/Spawn,Spawn,SpawnMarker,RepairWorkshop,1955.27,6.6209393,-554.495,1955.27,6.6209393,-554.495,1955.27,6.6209393,-554.495,,cell_3_-2,DonorReference,Extracted
f4a1a1c8ca621a1360978da9675c45f0,16121,REPAIRSHOP/inspection_desk 1,inspection_desk 1,BuildingExterior,RepairWorkshop,1724.5306,6.757,-301.77405,1724.5306,6.757,-301.77405,1724.5306,6.757,-301.77405,922135cc8cab2184d8139d2e28ae5293,cell_3_-1,DonorReference,ExtractedBoundsNeedsReview
faf65ad9072c996489a0e6dafbe32e78,29785,REPAIRSHOP/SatsumaSpawns/Spawn,Spawn,SpawnMarker,RepairWorkshop,2141.1301,7.531,-691.54504,2141.1301,7.531,-691.54504,2141.1301,7.531,-691.54504,,cell_4_-2,DonorReference,Extracted
fb0f962be1b325cc19296c66751818c0,1064,CABIN/Shed/garage_shed_roof,garage_shed_roof,Roof,PrimaryHomeGarage,0,-1.1920929E-07,0,0,-1.1920929E-07,0,0,-1.1920929E-07,0,6cc499f220f49dc44b33548b003b1457,cell_0_0,DonorReference,ExtractedBoundsNeedsReview
fe1bf835c1c8ddad0038b4bfd721149d,28886,REPAIRSHOP/JunkCar2,JunkCar2,BuildingExterior,RepairWorkshop,479.51,1.0609998,-2275.865,477.13397,1.0122975,-2277.0774,482.3296,2.4092536,-2274.5928,45c443e308adcad419b65fec8598ee36,cell_0_-5,DonorReference,Extracted
