result_id,run_id,fixture_id,metric_id,classification,status,sample_count,mean,median,minimum,maximum,stddev,target,accepted_minimum,accepted_maximum,unit,source,notes
m06a-physx-acceleration:longitudinal.launch_distance_m,m06a-physx-acceleration,acceleration,longitudinal.launch_distance_m,RemakeDesignTarget,Passed,3,0.4446182,0.4446182,0.4446182,0.4446182,0,0.4,0.4,,m,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Repeated PhysX trials.
m06a-physx-braking:longitudinal.braking_final_speed_ratio,m06a-physx-braking,braking,longitudinal.braking_final_speed_ratio,RemakeDesignTarget,Passed,3,0.1537424,0.1537424,0.1537424,0.1537424,0,0.25,0,0.25,ratio,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Repeated PhysX trials.
m06a-physx-braking:longitudinal.braking_distance_m,m06a-physx-braking,braking,longitudinal.braking_distance_m,RemakeDesignTarget,Passed,3,0.0541698,0.0541698,0.0541698,0.0541698,0,25,0,25,m,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Repeated PhysX trials.
m06a-physx-braking:longitudinal.braking_max_speed_increase_m_s,m06a-physx-braking,braking,longitudinal.braking_max_speed_increase_m_s,RemakeDesignTarget,Passed,3,0,0,0,0,0,0.15,0,0.15,m/s,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Repeated PhysX trials.
m06a-physx-braking:contact.minimum_wheel_count,m06a-physx-braking,braking,contact.minimum_wheel_count,RemakeDesignTarget,Passed,3,4,4,4,4,0,4,2,4,count,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Repeated PhysX trials.
m06a-physx-coastdown:longitudinal.coastdown_speed_loss_m_s,m06a-physx-coastdown,coastdown,longitudinal.coastdown_speed_loss_m_s,RemakeDesignTarget,Passed,3,0.1391519,0.1391519,0.1391519,0.1391519,0,0.02,0.02,,m/s,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Neutral/clutch-disengaged repeated PhysX coast-down trials.
m06a-physx-coastdown:longitudinal.coastdown_max_speed_increase_m_s,m06a-physx-coastdown,coastdown,longitudinal.coastdown_max_speed_increase_m_s,RemakeDesignTarget,Passed,3,0.01294768,0.01294768,0.01294768,0.01294768,0,0,0,0.15,m/s,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Maximum transient speed increase after propulsion is removed.
m06a-physx-steering-slalom:lateral.steering_angle_deg,m06a-physx-steering-slalom,steering-slalom,lateral.steering_angle_deg,RemakeDesignTarget,Passed,1,16.10374,16.10374,16.10374,16.10374,0,16.5,2,30.1,deg,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Maximum absolute response across positive and negative steering steps.
m06a-physx-steering-slalom:lateral.turning_radius_estimate_m,m06a-physx-steering-slalom,steering-slalom,lateral.turning_radius_estimate_m,RemakeDesignTarget,Informational,1,15.77581,15.77581,15.77581,15.77581,0,4.0429,0,,m,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Coarse path-radius estimate from forward progress / maximum yaw; not donor parity.
m06a-physx-steering-slalom:contact.minimum_wheel_count,m06a-physx-steering-slalom,steering-slalom,contact.minimum_wheel_count,RemakeDesignTarget,Passed,1,4,4,4,4,0,2,2,4,count,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Minimum wheel contacts during the two steering steps.
m06a-physx-steering-slalom:contact.maximum_zero_contact_streak_frames,m06a-physx-steering-slalom,steering-slalom,contact.maximum_zero_contact_streak_frames,RemakeDesignTarget,Passed,1,0,0,0,0,0,0,0,5,frames,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Longest all-wheel airborne streak during steering validation.
m06a-physx-steering-slalom:lateral.maximum_slip,m06a-physx-steering-slalom,steering-slalom,lateral.maximum_slip,Unknown,Informational,1,0.8204618,0.8204618,0.8204618,0.8204618,0,0.8204618,0,,ratio,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Observed maximum absolute lateral slip; donor target Unknown.
m06a-physx-suspension-bump:suspension.bump_peak_delta_01,m06a-physx-suspension-bump,suspension-bump,suspension.bump_peak_delta_01,RemakeDesignTarget,Passed,1,0.5138889,0.5138889,0.5138889,0.5138889,0,0.1,0.1,1,normalized,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,80mm runtime bump.
m06a-physx-suspension-bump:suspension.recovery_delta_01,m06a-physx-suspension-bump,suspension-bump,suspension.recovery_delta_01,RemakeDesignTarget,Passed,1,0,0,0,0,0,0,0,0.15,normalized,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Recovery after bump.
m06a-physx-suspension-bump:contact.minimum_wheel_count,m06a-physx-suspension-bump,suspension-bump,contact.minimum_wheel_count,RemakeDesignTarget,Passed,1,4,4,4,4,0,2,2,4,count,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Minimum contact count during the 80mm bump.
m06a-physx-hill-start:longitudinal.hill_hold_drift_m,m06a-physx-hill-start,hill-start,longitudinal.hill_hold_drift_m,RemakeDesignTarget,Passed,1,0.05179387,0.05179387,0.05179387,0.05179387,0,0.25,0,0.25,m,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,One-second brake hold on the project-authored six-degree slope.
m06a-physx-hill-start:longitudinal.hill_start_progress_m,m06a-physx-hill-start,hill-start,longitudinal.hill_start_progress_m,RemakeDesignTarget,Passed,1,3.036948,3.036948,3.036948,3.036948,0,0.5,0.5,,m,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Three-second bounded uphill launch.
m06a-physx-hill-start:contact.minimum_wheel_count,m06a-physx-hill-start,hill-start,contact.minimum_wheel_count,RemakeDesignTarget,Passed,1,4,4,4,4,0,2,2,4,count,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Minimum contacts during hill hold and launch.
m06a-physx-surface-comparison:surface.lookup_pass,m06a-physx-surface-comparison,surface-comparison,surface.lookup_pass,RemakeDesignTarget,Passed,1,1,1,1,1,0,1,1,1,bool,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Four typed surfaces resolved at contacts.
m06a-physx-surface-comparison:surface.friction_ordering_pass,m06a-physx-surface-comparison,surface-comparison,surface.friction_ordering_pass,RemakeDesignTarget,Passed,1,1,1,1,1,0,1,1,1,bool,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Configured friction multipliers are strictly ordered.
m06a-physx-surface-comparison:surface.rolling_resistance_ordering_pass,m06a-physx-surface-comparison,surface-comparison,surface.rolling_resistance_ordering_pass,RemakeDesignTarget,Passed,1,1,1,1,1,0,1,1,1,bool,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Configured rolling-resistance multipliers are strictly ordered; measured coast-down values remain informational for the current prototype backend.
m06a-physx-surface-comparison:contact.minimum_wheel_count,m06a-physx-surface-comparison,surface-comparison,contact.minimum_wheel_count,RemakeDesignTarget,Passed,1,4,4,4,4,0,2,2,4,count,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Minimum contacts across Paved/Gravel/Dirt/Grass samples.
m06a-physx-surface-comparison:surface.dynamic_coastdown_loss.paved_m_s,m06a-physx-surface-comparison,surface-comparison,surface.dynamic_coastdown_loss.paved_m_s,RemakeDesignTarget,Informational,1,0.3202462,0.3202462,0.3202462,0.3202462,0,0.3202462,0,,m/s,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,One-second unpowered dynamic surface response; not donor friction parity.
m06a-physx-surface-comparison:surface.dynamic_coastdown_loss.gravel_m_s,m06a-physx-surface-comparison,surface-comparison,surface.dynamic_coastdown_loss.gravel_m_s,RemakeDesignTarget,Informational,1,0.3212905,0.3212905,0.3212905,0.3212905,0,0.3212905,0,,m/s,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,One-second unpowered dynamic surface response; not donor friction parity.
m06a-physx-surface-comparison:surface.dynamic_coastdown_loss.dirt_m_s,m06a-physx-surface-comparison,surface-comparison,surface.dynamic_coastdown_loss.dirt_m_s,RemakeDesignTarget,Informational,1,0.3197434,0.3197434,0.3197434,0.3197434,0,0.3197434,0,,m/s,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,One-second unpowered dynamic surface response; not donor friction parity.
m06a-physx-surface-comparison:surface.dynamic_coastdown_loss.grass_m_s,m06a-physx-surface-comparison,surface-comparison,surface.dynamic_coastdown_loss.grass_m_s,RemakeDesignTarget,Informational,1,0.3137703,0.3137703,0.3137703,0.3137703,0,0.3137703,0,,m/s,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,One-second unpowered dynamic surface response; not donor friction parity.
