target_id,fixture_id,metric_id,classification,status,mode,target_value,minimum_value,maximum_value,unit,absolute_tolerance,relative_tolerance_01,confidence_01,source,notes
static-geometry-mass:geometry.steering_lock_config_deg,static-geometry-mass,geometry.steering_lock_config_deg,RemakeDesignTarget,Provisional,ValueWithTolerance,30,30,30,deg,0.1,0,0.65,M06 config,Donor steering lock Missing.
start-idle:engine.starter_time_s,start-idle,engine.starter_time_s,RemakeDesignTarget,Provisional,InclusiveRange,0,0.1,1,s,0.1,0.15,0.6,M06A stability target,Not donor start-time parity.
start-idle:engine.idle_rpm,start-idle,engine.idle_rpm,RemakeDesignTarget,Provisional,ValueWithTolerance,900,900,900,rpm,120,0,0.65,M06 config,Donor idle fixture Missing.
start-idle:engine.idle_max_deviation_rpm,start-idle,engine.idle_max_deviation_rpm,RemakeDesignTarget,Provisional,Maximum,120,0,120,rpm,20,0,0.7,M06A stability target,Project-owned regression/stability target; not donor parity.
start-idle:numeric.finite_state,start-idle,numeric.finite_state,RemakeDesignTarget,Provisional,Minimum,1,1,0,bool,0,0,0.7,M06A invariant,Project-owned regression/stability target; not donor parity.
acceleration:longitudinal.launch_peak_speed_m_s,acceleration,longitudinal.launch_peak_speed_m_s,RemakeDesignTarget,Provisional,Minimum,0.5,0.5,0,m/s,0.1,0.15,0.7,M06 PlayMode regression gate,Project-owned regression/stability target; not donor parity.
acceleration:longitudinal.launch_distance_m,acceleration,longitudinal.launch_distance_m,RemakeDesignTarget,Provisional,Minimum,0.4,0.4,0,m,0.1,0.15,0.7,M06 PlayMode regression gate,Project-owned regression/stability target; not donor parity.
acceleration:numeric.finite_state,acceleration,numeric.finite_state,RemakeDesignTarget,Provisional,Minimum,1,1,0,bool,0,0,0.7,M06A invariant,Project-owned regression/stability target; not donor parity.
braking:longitudinal.braking_final_speed_ratio,braking,longitudinal.braking_final_speed_ratio,RemakeDesignTarget,Provisional,Maximum,0.25,0,0.25,ratio,0.02,0,0.7,M06A braking regression target,Project-owned regression/stability target; not donor parity.
braking:longitudinal.braking_distance_m,braking,longitudinal.braking_distance_m,RemakeDesignTarget,Provisional,Maximum,25,0,25,m,0.25,0.15,0.7,M06A bounded braking route,Project-owned regression/stability target; not donor parity.
braking:longitudinal.braking_max_speed_increase_m_s,braking,longitudinal.braking_max_speed_increase_m_s,RemakeDesignTarget,Provisional,Maximum,0.15,0,0.15,m/s,0.02,0,0.7,M06A monotonicity tolerance,Project-owned regression/stability target; not donor parity.
braking:contact.minimum_wheel_count,braking,contact.minimum_wheel_count,RemakeDesignTarget,Provisional,Minimum,2,2,0,count,0,0,0.7,M06A contact stability target,Project-owned regression/stability target; not donor parity.
braking:numeric.finite_state,braking,numeric.finite_state,RemakeDesignTarget,Provisional,Minimum,1,1,0,bool,0,0,0.7,M06A invariant,Project-owned regression/stability target; not donor parity.
coastdown:longitudinal.coastdown_speed_loss_m_s,coastdown,longitudinal.coastdown_speed_loss_m_s,RemakeDesignTarget,Provisional,Minimum,0.02,0.02,0,m/s,0.1,0.15,0.7,M06A no-propulsion trend,Project-owned regression/stability target; not donor parity.
coastdown:longitudinal.coastdown_max_speed_increase_m_s,coastdown,longitudinal.coastdown_max_speed_increase_m_s,RemakeDesignTarget,Provisional,Maximum,0.15,0,0.15,m/s,0.05,0,0.7,M06A coast-down monotonicity tolerance,Project-owned regression/stability target; not donor parity.
coastdown:numeric.finite_state,coastdown,numeric.finite_state,RemakeDesignTarget,Provisional,Minimum,1,1,0,bool,0,0,0.7,M06A invariant,Project-owned regression/stability target; not donor parity.
hill-start:longitudinal.hill_hold_drift_m,hill-start,longitudinal.hill_hold_drift_m,RemakeDesignTarget,Provisional,Maximum,0.25,0,0.25,m,0.05,0,0.7,M06A six-degree brake-hold target,Project-owned regression/stability target; not donor parity.
hill-start:longitudinal.hill_start_progress_m,hill-start,longitudinal.hill_start_progress_m,RemakeDesignTarget,Provisional,Minimum,0.5,0.5,0,m,0.1,0,0.7,M06A six-degree uphill launch target,Project-owned regression/stability target; not donor parity.
hill-start:contact.minimum_wheel_count,hill-start,contact.minimum_wheel_count,RemakeDesignTarget,Provisional,Minimum,2,2,0,count,0,0,0.7,M06A hill contact stability target,Project-owned regression/stability target; not donor parity.
hill-start:numeric.finite_state,hill-start,numeric.finite_state,RemakeDesignTarget,Provisional,Minimum,1,1,0,bool,0,0,0.7,M06A invariant,Project-owned regression/stability target; not donor parity.
steering-slalom:lateral.steering_angle_deg,steering-slalom,lateral.steering_angle_deg,RemakeDesignTarget,Provisional,InclusiveRange,0,1,30,deg,1,0.1,0.6,M06 steering config,Donor steering lock Missing.
steering-slalom:lateral.turning_radius_estimate_m,steering-slalom,lateral.turning_radius_estimate_m,RemakeDesignTarget,Provisional,ValueWithTolerance,4.0429,4.0429,4.0429,m,0.25,0,0.65,wheelbase/tan(30deg),Kinematic estimate only.
steering-slalom:lateral.maximum_slip,steering-slalom,lateral.maximum_slip,Unknown,Unknown,Unspecified,,,,ratio,,,,,No donor lateral-slip target; observed project value is informational.
steering-slalom:numeric.finite_state,steering-slalom,numeric.finite_state,RemakeDesignTarget,Provisional,Minimum,1,1,0,bool,0,0,0.7,M06A invariant,Project-owned regression/stability target; not donor parity.
suspension-bump:suspension.bump_peak_delta_01,suspension-bump,suspension.bump_peak_delta_01,RemakeDesignTarget,Provisional,Minimum,0.1,0.1,0,normalized,0.03,0,0.7,M06A 80mm bump target,Project-owned regression/stability target; not donor parity.
suspension-bump:suspension.recovery_delta_01,suspension-bump,suspension.recovery_delta_01,RemakeDesignTarget,Provisional,Maximum,0.15,0,0.15,normalized,0.03,0,0.7,M06A recovery target,Project-owned regression/stability target; not donor parity.
suspension-bump:contact.minimum_wheel_count,suspension-bump,contact.minimum_wheel_count,RemakeDesignTarget,Provisional,Minimum,2,2,0,count,0,0,0.7,M06A contact stability target,Project-owned regression/stability target; not donor parity.
suspension-bump:numeric.finite_state,suspension-bump,numeric.finite_state,RemakeDesignTarget,Provisional,Minimum,1,1,0,bool,0,0,0.7,M06A invariant,Project-owned regression/stability target; not donor parity.
surface-comparison:surface.lookup_pass,surface-comparison,surface.lookup_pass,RemakeDesignTarget,Provisional,Minimum,1,1,0,bool,0,0,0.7,M06A typed metadata contract,Project-owned regression/stability target; not donor parity.
surface-comparison:surface.friction_ordering_pass,surface-comparison,surface.friction_ordering_pass,RemakeDesignTarget,Provisional,Minimum,1,1,0,bool,0,0,0.7,M06 config ordering,Project-owned regression/stability target; not donor parity.
surface-comparison:surface.rolling_resistance_ordering_pass,surface-comparison,surface.rolling_resistance_ordering_pass,RemakeDesignTarget,Provisional,Minimum,1,1,0,bool,0,0,0.7,M06 config ordering,Project-owned regression/stability target; not donor parity.
surface-comparison:contact.minimum_wheel_count,surface-comparison,contact.minimum_wheel_count,RemakeDesignTarget,Provisional,Minimum,2,2,0,count,0,0,0.7,M06A contact stability target,Project-owned regression/stability target; not donor parity.
surface-comparison:numeric.finite_state,surface-comparison,numeric.finite_state,RemakeDesignTarget,Provisional,Minimum,1,1,0,bool,0,0,0.7,M06A invariant,Project-owned regression/stability target; not donor parity.
garage-clearance:world.garage_width_margin_m,garage-clearance,world.garage_width_margin_m,RemakeDesignTarget,Provisional,Minimum,0.92,0.92,0,m,0.01,0,0.7,05A representative envelope fixture,Project-owned regression/stability target; not donor parity.
garage-clearance:world.garage_height_margin_m,garage-clearance,world.garage_height_margin_m,RemakeDesignTarget,Provisional,Minimum,0.47,0.47,0,m,0.01,0,0.7,05A representative envelope fixture,Project-owned regression/stability target; not donor parity.
garage-clearance:world.threshold_height_m,garage-clearance,world.threshold_height_m,RemakeDesignTarget,Provisional,ValueWithTolerance,0.105,0.105,0.105,m,0.01,0,0.65,Production cell project measurement,Not donor threshold parity.
garage-clearance:contact.minimum_wheel_count,garage-clearance,contact.minimum_wheel_count,RemakeDesignTarget,Provisional,Minimum,2,2,0,count,0,0,0.7,M06A bounded route target,Project-owned regression/stability target; not donor parity.
garage-clearance:numeric.finite_state,garage-clearance,numeric.finite_state,RemakeDesignTarget,Provisional,Minimum,1,1,0,bool,0,0,0.7,M06A invariant,Project-owned regression/stability target; not donor parity.
world-transition:world.streaming_neighbor_loaded,world-transition,world.streaming_neighbor_loaded,RemakeDesignTarget,Provisional,Minimum,1,1,0,bool,0,0,0.7,Production streaming manifest,Project-owned regression/stability target; not donor parity.
world-transition:world.route_progress_m,world-transition,world.route_progress_m,RemakeDesignTarget,Provisional,Minimum,12.23,12.23,0,m,0.1,0,0.7,Garage start to z=-1024 boundary,Project-owned regression/stability target; not donor parity.
world-transition:world.maximum_lateral_deviation_m,world-transition,world.maximum_lateral_deviation_m,RemakeDesignTarget,Provisional,Maximum,1.1,0,1.1,m,0.1,0,0.7,Bounded garage corridor,Project-owned regression/stability target; not donor parity.
world-transition:world.post_streaming_contact_wheel_count,world-transition,world.post_streaming_contact_wheel_count,RemakeDesignTarget,Provisional,Minimum,2,2,0,count,0,0,0.7,M06A automatic streaming continuity,Project-owned regression/stability target; not donor parity.
world-transition:world.post_streaming_vertical_delta_m,world-transition,world.post_streaming_vertical_delta_m,RemakeDesignTarget,Provisional,Maximum,0.35,0,0.35,m,0.02,0,0.7,M06A automatic streaming continuity,Project-owned regression/stability target; not donor parity.
world-transition:world.streaming_minimum_contact_wheel_count,world-transition,world.streaming_minimum_contact_wheel_count,RemakeDesignTarget,Provisional,Minimum,2,2,0,count,0,0,0.7,M06A active-load continuity,Project-owned regression/stability target; not donor parity.
world-transition:world.streaming_maximum_vertical_delta_m,world-transition,world.streaming_maximum_vertical_delta_m,RemakeDesignTarget,Provisional,Maximum,0.35,0,0.35,m,0.02,0,0.7,M06A active-load continuity,Project-owned regression/stability target; not donor parity.
world-transition:world.next_cell_only_minimum_contact_wheel_count,world-transition,world.next_cell_only_minimum_contact_wheel_count,RemakeDesignTarget,Provisional,Minimum,2,2,0,count,0,0,0.7,M06A next-cell collision proof,Project-owned regression/stability target; not donor parity.
world-transition:world.next_cell_only_maximum_vertical_delta_m,world-transition,world.next_cell_only_maximum_vertical_delta_m,RemakeDesignTarget,Provisional,Maximum,0.35,0,0.35,m,0.02,0,0.7,M06A next-cell collision proof,Project-owned regression/stability target; not donor parity.
world-transition:world.surface_transition_lookup_pass,world-transition,world.surface_transition_lookup_pass,RemakeDesignTarget,Provisional,Minimum,1,1,0,bool,0,0,0.7,M06A production semantic-surface lookup,Project-owned regression/stability target; not donor parity.
world-transition:contact.maximum_zero_contact_streak_frames,world-transition,contact.maximum_zero_contact_streak_frames,RemakeDesignTarget,Provisional,Maximum,8,0,8,frames,0,0,0.7,Bounded threshold tolerance,Project-owned regression/stability target; not donor parity.
world-transition:numeric.finite_state,world-transition,numeric.finite_state,RemakeDesignTarget,Provisional,Minimum,1,1,0,bool,0,0,0.7,M06A invariant,Project-owned regression/stability target; not donor parity.
reference:donor-root-rigidbody-mass,reference-only,mass.donor_root_rigidbody_component_kg,MeasuredDonorReference,EvidenceOnly,Informational,389,,,kg,,,,ReferenceCaptureDatabase:3041151e93c71a87d89d19779615dc68,Exact serialized component value; donor object is kinematic; not curb/assembled mass.
reference:body-aabb-width,reference-only,geometry.body_mesh_aabb_width_m,MeasuredDonorReference,Available,Informational,1.465916,,,m,,,,ReferenceCaptureDatabase:5b658bae6d89917e377db64110842c6a,datsun_body mesh only; not assembled envelope.
reference:body-aabb-height,reference-only,geometry.body_mesh_aabb_height_m,MeasuredDonorReference,Available,Informational,1.1102937,,,m,,,,ReferenceCaptureDatabase:5b658bae6d89917e377db64110842c6a,datsun_body mesh only; not assembled envelope.
reference:body-aabb-length,reference-only,geometry.body_mesh_aabb_length_m,MeasuredDonorReference,Available,Informational,3.5462036,,,m,,,,ReferenceCaptureDatabase:5b658bae6d89917e377db64110842c6a,datsun_body mesh only; not assembled envelope.
unknown:mass.total_assembled_kg,reference-only,mass.total_assembled_kg,Unknown,Missing,Informational,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor target; must remain blank/Unknown.
unknown:mass.donor_part_contributions_kg,reference-only,mass.donor_part_contributions_kg,Unknown,Missing,Informational,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor target; must remain blank/Unknown.
unknown:mass.donor_center_of_mass_m,reference-only,mass.donor_center_of_mass_m,Unknown,Missing,Informational,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor target; must remain blank/Unknown.
unknown:wheel.fitted_radius_m,reference-only,wheel.fitted_radius_m,Unknown,Missing,Informational,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor target; must remain blank/Unknown.
unknown:geometry.donor_ride_height_m,reference-only,geometry.donor_ride_height_m,Unknown,Missing,Informational,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor target; must remain blank/Unknown.
unknown:geometry.donor_ground_clearance_m,reference-only,geometry.donor_ground_clearance_m,Unknown,Missing,Informational,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor target; must remain blank/Unknown.
unknown:engine.donor_start_idle_stall,reference-only,engine.donor_start_idle_stall,Unknown,Missing,Informational,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor target; must remain blank/Unknown.
unknown:gearbox.donor_ratios,reference-only,gearbox.donor_ratios,Unknown,Missing,Informational,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor target; must remain blank/Unknown.
unknown:drivetrain.donor_final_drive,reference-only,drivetrain.donor_final_drive,Unknown,Missing,Informational,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor target; must remain blank/Unknown.
unknown:longitudinal.donor_acceleration,reference-only,longitudinal.donor_acceleration,Unknown,Missing,Informational,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor target; must remain blank/Unknown.
unknown:longitudinal.donor_braking,reference-only,longitudinal.donor_braking,Unknown,Missing,Informational,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor target; must remain blank/Unknown.
unknown:lateral.donor_steering,reference-only,lateral.donor_steering,Unknown,Missing,Informational,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor target; must remain blank/Unknown.
unknown:suspension.donor_response,reference-only,suspension.donor_response,Unknown,Missing,Informational,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor target; must remain blank/Unknown.
