"record_id","record_type","category","subcategory","priority","status","capture_method","unit","name"
"2c597f6e555b1489fc65f243073e56d3","Measurement","PlayerInteraction","movement","P0","Validated","SerializedDonorData","MeterPerSecond","CharacterMotor base walk speed"
"2f37c9290aa208d3a699458e039591ce","Measurement","PlayerInteraction","movement","P1","Validated","SerializedDonorData","MeterPerSecondSquared","CharacterMotor maximum ground acceleration"
"a0cc3d6bb92d7b24bd31d458f42c7d22","Measurement","PlayerInteraction","movement","P1","Validated","SerializedDonorData","MeterPerSecondSquared","CharacterMotor gravity"
"3041151e93c71a87d89d19779615dc68","Measurement","VehicleGeometryAssembly","satsuma-body","P0","Validated","SerializedDonorData","Kilogram","Satsuma root Rigidbody mass"
"5b658bae6d89917e377db64110842c6a","Measurement","VehicleGeometryAssembly","satsuma-body","P0","Validated","AssetMetadata","Meter","Satsuma body visual AABB width/height/length"
"0b20bde79481aa8087c05f64cedc5a3b","Measurement","VehicleGeometryAssembly","wheel-anchor","P0","Validated","SceneTransform","Meter","Front-left wheel root anchor"
"a6790761807d4f904830d0fb64d6bc54","Measurement","VehicleGeometryAssembly","wheel-anchor","P0","Validated","SceneTransform","Meter","Front-right wheel root anchor"
"0d2f89ee7c4017506f09cb67511b8f1e","Measurement","VehicleGeometryAssembly","wheel-anchor","P0","Validated","SceneTransform","Meter","Rear-left wheel root anchor"
"7c3299db3bd1591b4a38aa997eb6b05b","Measurement","VehicleGeometryAssembly","wheel-anchor","P0","Validated","SceneTransform","Meter","Rear-right wheel root anchor"
"a2a2647de4c9f2e05568e98a27d59380","Measurement","VehicleGeometryAssembly","wheel-geometry","P0","Validated","DerivedCalculation","Meter","Satsuma wheelbase"
"93b15a1420a962441f82ad53e074ed09","Measurement","VehicleGeometryAssembly","wheel-geometry","P0","Validated","DerivedCalculation","Meter","Satsuma front track at wheel roots"
"98bbe4fc8f0e5702bfbbbf03592d0b28","Measurement","VehicleGeometryAssembly","wheel-geometry","P0","Validated","DerivedCalculation","Meter","Satsuma rear track at wheel roots"
"f7d49044cec918b66ac64e0099a7781f","Measurement","VehicleGeometryAssembly","wheel-geometry","P1","NeedsReview","AssetMetadata","Meter","Named tire_stock mesh candidate radius"
"b9784d5724a9dde0b9df88f2de883781","Measurement","VehicleGeometryAssembly","rear-brake-drum","P0","Validated","AssetMetadata","Meter","Rear brake drum mesh width/diameterY/diameterZ"
"0fad39d279a669c3124cd7becfed277f","Measurement","VehicleGeometryAssembly","rear-brake-drum","P0","Validated","AssetMetadata","Meter","Rear brake drum local pivot"
"70b9e8445df4b04df94378f3502f465c","Measurement","VehicleGeometryAssembly","rear-brake-drum","P0","Validated","SceneTransform","Meter","Installed rear-left drum transform relative to TireRL"
"4e9f1585f8a6fb35ba56d202f1fcf21c","Measurement","VehicleGeometryAssembly","rear-brake-drum","P1","Validated","SceneTransform","Meter","Rear-left drum BoltPM marker local position"
"37b878fd9d25bba52b8b421d1b12f325","Measurement","VehicleGeometryAssembly","rear-brake-drum","P0","Validated","SceneTransform","Meter","Rear-left drum assembly trigger local position"
"9c6544a9f3852df5e34ffe12d5248867","Measurement","VehicleGeometryAssembly","rear-brake-drum","P0","Validated","SerializedDonorData","Meter","Rear-left drum assembly trigger radius"
"fc1c6c58bf384ed7b61ab8c000372a72","Measurement","VehicleGeometryAssembly","rear-brake-drum","P0","NeedsReview","SerializedDonorData","Unitless","Rear-left drum static install and removal FSM contract"
"8ee671ce6693c086c59f5c53fe39b183","Measurement","VehicleGeometryAssembly","rear-brake-drum","P0","Validated","SerializedDonorData","Unitless","Rear-left drum BoltPM control-marker count"
"670da877660d6dfe7b0639bf7c1fe0c2","Measurement","VehicleGeometryAssembly","rear-brake-drum","P0","Validated","SerializedDonorData","Unitless","Rear-left drum serialized fastener stage contract"
"a2835d196e7954f09d04832d9fabbef9","Measurement","VehicleGeometryAssembly","rear-brake-drum","P0","Validated","SerializedDonorData","Unitless","Rear-left drum tool-selection and scroll-input contract"
"7ff3ff61c2bae103500744ffbf2ca28e","Measurement","VehicleGeometryAssembly","rear-brake-drum","P1","NeedsReview","RuntimeObservation","Unitless","Runtime video diagnostic: wrench 11 rejected"
"e7aedfd32241bd4ab85987282e4073d7","Measurement","VehicleGeometryAssembly","rear-brake-drum","P0","Validated","RuntimeObservation","Unitless","Runtime rear-left drum install and fastener repetitions"
"b9af6c2398d63e5f3f84fe5f939b5a09","Measurement","VehicleGeometryAssembly","rear-brake-drum","P0","Validated","RuntimeObservation","Unitless","User-confirmed wheel-installed drum removal blocker"
"3418bc0c27b43dc851877ed030f862e2","BehaviorFixture","PlayerInteraction","calibration-fixture","P0","Partial","DerivedCalculation","Unitless","Player movement and interaction fixture"
"b96075bd9d967e976802f15357395c06","BehaviorFixture","WorldLandmarks","calibration-fixture","P0","Partial","DerivedCalculation","Unitless","Garage dimensions and clearance fixture"
"9b3f9667cfdde3ce2a0d15d1423da703","BehaviorFixture","VehicleGeometryAssembly","calibration-fixture","P0","Partial","DerivedCalculation","Unitless","Vehicle body and wheel geometry fixture"
"f757e87e02b129b273445064e835149c","BehaviorFixture","VehicleGeometryAssembly","calibration-fixture","P0","Ready","DerivedCalculation","Unitless","Representative rear drum mount and pivot fixture"
"0d481e20f9ead94b7b648f76de93f759","BehaviorFixture","PowertrainVehicleBehavior","calibration-fixture","P0","Missing","Unknown","Unitless","Engine idle, start and stall fixture"
"aba5fab989d5a7f3195897e6e31a2d17","BehaviorFixture","PowertrainVehicleBehavior","calibration-fixture","P0","Missing","Unknown","Unitless","Gearbox and final-drive fixture"
"e04df1343456dd9785d8c78563648e75","BehaviorFixture","PowertrainVehicleBehavior","calibration-fixture","P0","Missing","Unknown","Unitless","Steering and suspension fixture"
"32e17f4a135f1b6ce4a47ec81c2508ed","BehaviorFixture","PowertrainVehicleBehavior","calibration-fixture","P0","Missing","Unknown","Unitless","Braking and acceleration fixture"
"09a04c4493539ec0f945a46a57859755","BehaviorFixture","TimeWeatherEnvironment","calibration-fixture","P0","Missing","Unknown","Unitless","Time progression fixture"
"33f348c6d18a823d481c79bd3b206532","BehaviorFixture","TimeWeatherEnvironment","calibration-fixture","P0","Missing","Unknown","Unitless","Weather transition fixture"
"445fe89ef0243984a9b4a603fa64c153","BehaviorFixture","Audio","calibration-fixture","P0","Missing","Unknown","Unitless","Audio-state mapping fixture"
