FeatureId,DefinitionId,VariantIndex,ReplacementKey,SourceHierarchyRoot,SourceRootStableId,GeometryCount,PrefabPath,Classification,Status
"P1.ITEM.017.catalog.10","item.mail-order.subwoofers",-1,"legacy.item.mail-order.subwoofers","STORE/Boxes/subwoofers(Clone)","1db305a823f37e1052cec7b645bee269",5,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_subwoofers.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.11","item.mail-order.ratchet-set",-1,"legacy.item.mail-order.ratchet-set","STORE/Boxes/ratchet set(Clone)","bf50247e58e19fa8605010dd084434e0",17,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_ratchet-set.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.12","item.mail-order.tachometer",-1,"legacy.item.mail-order.tachometer","STORE/Boxes/tachometer(Clone)","aa4a4eca6f4f085f65fad88ec9e72ac9",6,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_tachometer.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.13","item.mail-order.wheelset-racing",-1,"legacy.item.mail-order.wheelset-racing","STORE/Boxes/wheelset racing(Clone)","0c2780ef6ac3835eda5e91f9a4197b5e",24,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_wheelset-racing.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.14","item.mail-order.racing-muffler",-1,"legacy.item.mail-order.racing-muffler","STORE/Boxes/racing muffler(Clone)","976f0df4a0f7ec94cfca2bcc7dceecf2",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_racing-muffler.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.15","item.mail-order.dash-cover-leopard",-1,"legacy.item.mail-order.dash-cover-leopard","STORE/Boxes/dash cover leopard(Clone)","f8e75a9103ba608217229b1640963751",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_dash-cover-leopard.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.16","item.mail-order.racing-exhaust",-1,"legacy.item.mail-order.racing-exhaust","STORE/Boxes/racing exhaust(Clone)","319f052e97aca874c1aabc192a6330a0",3,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_racing-exhaust.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.17","item.mail-order.rear-spoiler",-1,"legacy.item.mail-order.rear-spoiler","STORE/Boxes/rear spoiler(Clone)","5860d1c87493429f1298795dd290b432",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_rear-spoiler.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.18","item.mail-order.dash-cover-plush",-1,"legacy.item.mail-order.dash-cover-plush","STORE/Boxes/dash cover plush(Clone)","ab0955b87c0ff96ba8d2e076fc4e921c",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_dash-cover-plush.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.19","item.mail-order.cd-player",-1,"legacy.item.mail-order.cd-player","STORE/Boxes/cd player(Clone)","f89b393c3b7dee4d98018d53f6325828",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_cd-player.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.20","item.mail-order.n2o-kit",-1,"legacy.item.mail-order.n2o-kit","STORE/Boxes/n2o kit(Clone)","c7101d481e6180d56b68cb05604dd5d3",7,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_n2o-kit.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.21","item.mail-order.seat-cover-zebra",-1,"legacy.item.mail-order.seat-cover-zebra","STORE/Boxes/seat cover zebra(Clone)","963b7ce4b52783cb72069d2a381e1d70",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_seat-cover-zebra.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.22","item.mail-order.window-black-wrap",-1,"legacy.item.mail-order.window-black-wrap","STORE/Boxes/windows black wrap(Clone)","a1b14522534c2bb56dc34befed7c88ab",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_window-black-wrap.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.23","item.mail-order.rear-spoiler-2",-1,"legacy.item.mail-order.rear-spoiler-2","STORE/Boxes/rear spoiler2(Clone)","4ea9e2771369ef64bd83d567119b547b",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_rear-spoiler-2.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.24","item.mail-order.fender-flares",-1,"legacy.item.mail-order.fender-flares","STORE/Boxes/fender flares(Clone)","c6a602e14a829c588d0d0d001369fb3c",7,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_fender-flares.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.25","item.mail-order.racing-harness",-1,"legacy.item.mail-order.racing-harness","STORE/Boxes/racing harness(Clone)","051aebb697a3c28231e27085a781ede5",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_racing-harness.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.26","item.mail-order.sport-wheel",-1,"legacy.item.mail-order.sport-wheel","STORE/Boxes/sport steering wheel(Clone)","742fbaacd93e48c56e7f07aa93679a3a",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_sport-wheel.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.27","item.mail-order.wheel-cover-zebra",-1,"legacy.item.mail-order.wheel-cover-zebra","STORE/Boxes/wheel cover zebra(Clone)","4bf3a6a8a24070619b819cc344dbe320",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_wheel-cover-zebra.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.28","item.mail-order.wheelset-spoke",-1,"legacy.item.mail-order.wheelset-spoke","STORE/Boxes/wheelset spoke(Clone)","48a8b7e7173db7a48db917a1853609fa",20,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_wheelset-spoke.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.29","item.mail-order.wheel-cover-leopard",-1,"legacy.item.mail-order.wheel-cover-leopard","STORE/Boxes/wheel cover leopard(Clone)","25ae96e64e9751ec0252c586badd9d7f",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_wheel-cover-leopard.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.30","item.mail-order.fuel-mixture-gauge",-1,"legacy.item.mail-order.fuel-mixture-gauge","STORE/Boxes/fuel mixture gauge(Clone)","7867bf792b74f99315b6bc1be11c158f",3,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_fuel-mixture-gauge.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.31","item.mail-order.extra-gauges",-1,"legacy.item.mail-order.extra-gauges","STORE/Boxes/extra gauges(Clone)","71bd2a4d185ea83a8b7cb71162294dd0",2,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_extra-gauges.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.32","item.mail-order.wheelset-turbine",-1,"legacy.item.mail-order.wheelset-turbine","STORE/Boxes/wheelset turbine(Clone)","e6d414eb75194693641e9b654d7b530d",24,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_wheelset-turbine.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.33","item.mail-order.seat-cover-plush",-1,"legacy.item.mail-order.seat-cover-plush","STORE/Boxes/seat cover plush(Clone)","b258b71ed1b7a1efb38b649a358bc785",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_seat-cover-plush.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.34","item.mail-order.bucket-seats",-1,"legacy.item.mail-order.bucket-seats","STORE/Boxes/bucket seat driver(Clone)","3e448067a499e9bfb14886be3b1ef10d",10,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_bucket-seats.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.35","item.mail-order.antenna",-1,"legacy.item.mail-order.antenna","STORE/Boxes/antenna(Clone)","7f58ef0d4ec3447d583f8da5c96da72b",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_antenna.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.36","item.mail-order.rally-wheel",-1,"legacy.item.mail-order.rally-wheel","STORE/Boxes/rally steering wheel(Clone)","470c1ad09bc0ad2d7377a6b0aa73d18f",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_rally-wheel.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.37","item.mail-order.racing-carburators",-1,"legacy.item.mail-order.racing-carburators","STORE/Boxes/racing carburators(Clone)","4bb0ec535cbc73b876a7edd4ffbea258",6,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_racing-carburators.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.38","item.mail-order.front-spoiler",-1,"legacy.item.mail-order.front-spoiler","STORE/Boxes/front spoiler(Clone)","16398dcc9e44d422cff7e066ed2ae3e2",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_front-spoiler.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.39","item.mail-order.exhaust-dual-tip",-1,"legacy.item.mail-order.exhaust-dual-tip","STORE/Boxes/exhaust dual tip(Clone)","dc00a10cc08b38cd29d0880036567c33",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_exhaust-dual-tip.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.40","item.mail-order.wheelset-rally",-1,"legacy.item.mail-order.wheelset-rally","STORE/Boxes/wheelset rally(Clone)","49bc40ba00c9294594cf8fa8e091e5b0",20,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_wheelset-rally.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.41","item.mail-order.wheelset-hayosiko",-1,"legacy.item.mail-order.wheelset-hayosiko","STORE/Boxes/wheelset hayosiko(Clone)","15246f47b52e5bf726f872b726eaa970",24,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_wheelset-hayosiko.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.42","item.mail-order.wheelset-octo",-1,"legacy.item.mail-order.wheelset-octo","STORE/Boxes/wheelset octo(Clone)","3095af082c66e73676047c2eca0f5eed",20,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_wheelset-octo.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.43","item.mail-order.racing-radiator",-1,"legacy.item.mail-order.racing-radiator","STORE/Boxes/racing radiator(Clone)","9d64b05170fab4dce00c4e0250a779bc",3,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_racing-radiator.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.44","item.mail-order.rally-suspension",-1,"legacy.item.mail-order.rally-suspension","STORE/Boxes/rally suspension kit(Clone)","8a25052eff69c51874a332949f99b964",5,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_rally-suspension.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.45","item.mail-order.dash-cover-zebra",-1,"legacy.item.mail-order.dash-cover-zebra","STORE/Boxes/dash cover zebra(Clone)","42b78304aaf79ce5d246465efe32424a",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_dash-cover-zebra.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.46","item.mail-order.fiberglass-hood",-1,"legacy.item.mail-order.fiberglass-hood","STORE/Boxes/fiberglass hood(Clone)","f15b3c92c0f17904844ee45be9e7fa31",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_fiberglass-hood.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.101","item.sausages-package",-1,"legacy.item.sausages-package","ITEMS/sausagesx0","c668d1e989dc6d68e57e2f449d7281fc",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_sausages-package.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.102","item.macaroni-box",-1,"legacy.item.macaroni-box","ITEMS/macaron boxx","ea90b4b16dea389acf191bdaa78b6fbe",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_macaroni-box.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.103","item.pizza",-1,"legacy.item.pizza","ITEMS/pizzax","1354f9712d72ba75bee26ca0b3e84d1b",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_pizza.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.104","item.potato-chips",-1,"legacy.item.potato-chips","DONOR_PREFAB/GameObject/potato chips.prefab","prefab-de9c4097f52ede6945315986",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_potato-chips.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.105","item.milk",-1,"legacy.item.milk","ITEMS/milkx","16281979d76fdb2b7b850b52588b832e",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_milk.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.106","item.yeast",-1,"legacy.item.yeast","DONOR_PREFAB/GameObject/yeast.prefab","prefab-c213c46a2843bfa65a015f1b",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_yeast.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.107","item.sugar",-1,"legacy.item.sugar","DONOR_PREFAB/GameObject/sugar.prefab","prefab-6f8fe4ff372e93a690c20193",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_sugar.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.108","item.juice-concentrate",-1,"legacy.item.juice-concentrate","DONOR_PREFAB/GameObject/juice concentrate.prefab","prefab-0dff1b187f56f5658831125a",2,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_juice-concentrate.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.109","item.coffee-package",-1,"legacy.item.coffee-package","DONOR_PREFAB/GameObject/groundcoffee0.prefab","prefab-139023d78a23d61b3c82c680",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_coffee-package.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.110","item.charcoal",-1,"legacy.item.charcoal","DONOR_PREFAB/GameObject/grillcharcoal0.prefab","prefab-d4a0c3ad8f4473f0e6346fe7",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_charcoal.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.111","item.cigarettes",-1,"legacy.item.cigarettes","DONOR_PREFAB/GameObject/cigarettes0.prefab","prefab-63dc6b6ab36c71ade2b784d0",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_cigarettes.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.112","item.mosquito-spray",-1,"legacy.item.mosquito-spray","DONOR_PREFAB/GameObject/mosquito spray.prefab","prefab-7e72a1f4e8edfe59f0ecb420",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mosquito-spray.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.113","item.beer-case",-1,"legacy.item.beer-case","ITEMS/beercase0","1d4e170eca3412fbade77a9bf7380537",2,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_beer-case.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.116","item.loose-sausage",-1,"legacy.item.loose-sausage","DONOR_PREFAB/GameObject/sausage0.prefab","prefab-617423878c44653d9d749be2",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_loose-sausage.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.117","item.sausage-and-potatoes-meal",-1,"legacy.item.sausage-and-potatoes-meal","DONOR_PREFAB/GameObject/Sausage-Potatoes.prefab","prefab-c7312f6c9a972d5c6bb133a2",2,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_sausage-and-potatoes-meal.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.120","item.brake-fluid",-1,"legacy.item.brake-fluid","DONOR_PREFAB/GameObject/brakefluid0.prefab","prefab-e195231e5375950b3a5fa816",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_brake-fluid.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.121","item.coolant",-1,"legacy.item.coolant","DONOR_PREFAB/GameObject/coolant0.prefab","prefab-72126e1022a14c4a7917094a",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_coolant.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.122","item.motor-oil",-1,"legacy.item.motor-oil","DONOR_PREFAB/GameObject/motoroil0.prefab","prefab-74d70f38a2cb8ed310b7075d",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_motor-oil.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.123","item.two-stroke-oil",-1,"legacy.item.two-stroke-oil","DONOR_PREFAB/GameObject/twostroke0.prefab","prefab-2970a6c15ffbe20e710e1318",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_two-stroke-oil.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.124","item.alternator-belt",-1,"legacy.item.alternator-belt","DONOR_PREFAB/GameObject/alternatorbelt0.prefab","prefab-ed14118fd00e542aa0e68655",2,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_alternator-belt.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.125","item.oil-filter",-1,"legacy.item.oil-filter","DONOR_PREFAB/GameObject/oilfilter.prefab","prefab-be236c413649d67eb5db60c1",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_oil-filter.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.126","item.sparkplug-box",-1,"legacy.item.sparkplug-box","DONOR_PREFAB/GameObject/sparkplugbox0.prefab","prefab-c6d92a0ff67a41912feebdc9",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_sparkplug-box.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.127","item.lightbulb-box",-1,"legacy.item.lightbulb-box","DONOR_PREFAB/GameObject/lightbulbbox0.prefab","prefab-70fe0c71298b24e23d34d80f",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_lightbulb-box.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.128","item.fuse-package",-1,"legacy.item.fuse-package","DONOR_PREFAB/GameObject/fusepackage0.prefab","prefab-01a3b44c16c98ccd37c5ad5e",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_fuse-package.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.129","item.r20-battery",-1,"legacy.item.r20-battery","DONOR_PREFAB/GameObject/r20batterybox0.prefab","prefab-62f781eec4899082a4df650c",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_r20-battery.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.130","item.car-battery",-1,"legacy.item.car-battery","DONOR_PREFAB/GameObject/battery.prefab","prefab-11475069210bf843a90a6b80",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_car-battery.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.131","item.fire-extinguisher",-1,"legacy.item.fire-extinguisher","DONOR_PREFAB/GameObject/fireextinguisher0.prefab","prefab-2a131ea0be4ac38112a12455",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_fire-extinguisher.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.132","item.spray-paint-variants",0,"legacy.item.spray-paint-variants","DONOR_PREFAB/GameObject/spraycan0.prefab","prefab-1d999d2c465a66fad11edfb9",2,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_spray-paint-variants_variant_00.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.132","item.spray-paint-variants",1,"legacy.item.spray-paint-variants","DONOR_PREFAB/GameObject/spraycan0.prefab","prefab-1d999d2c465a66fad11edfb9",2,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_spray-paint-variants_variant_01.prefab",TemporaryDirectImport,"GeneratedValidated"
