"RosterId","FeatureId","Category","EvidenceExamples","Required","DonorEvidence","BehaviorSummary","Classification","CurrentImplementation","Status","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"ITEMCAT-011","P1.ITEM.011","Батареи, свечи, лампы, предохранители","Battery; spark plugs; bulbs; fuses","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Package counts and spawned child identities exist; installation/use outcomes remain downstream and unverified."
"ITEMCAT-012","P1.ITEM.012","Огнетушитель и safety supplies","Fire extinguisher","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Persistent condition/state exists; extinguisher spray and helmet gameplay effects remain missing."
"ITEMCAT-013","P1.ITEM.013","Дрова, wood carrier и физические грузы","Firewood; wood carrier","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Physical/container state exists; firewood collection, grill handoff and quantity flows remain incomplete."
"ITEMCAT-014","P1.ITEM.014","Radio, flashlight, lantern и portable devices","Radio; flashlight; lantern; remote","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Device toggles/charge fields exist; light/radio/radar/camera behavior and audio integration remain missing."
"ITEMCAT-015","P1.ITEM.015","CD, diskette, magazine и media objects","CDs; diskette; parts magazine","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Physical media state and floppy variants exist; readable/playback/computer integration remains downstream."
"ITEMCAT-016","P1.ITEM.016","Furniture и movable household objects","Sofa and movable props","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Physical state exists; sofa sleep, sports behavior and story-cargo use remain downstream."
"ITEMCAT-017","P1.ITEM.017","Vehicle service packages and ordered parts","Catalog/service packages","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Supply definitions/state exist; ordering, vehicle installation and service flows remain downstream."
"ITEMCAT-018","P1.ITEM.018","Garbage, empty packaging and disposable states","Garbage barrel; empties; opened packages","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Open/empty/contained state exists; disposed batteries, empty bottles and disposable presentation variants remain incomplete."
"ITEMCAT-019","P1.ITEM.019","Generic physical item identity, placement and recovery","All roster-backed physical instances","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B ItemWorldRuntime/WorldItemInstance with stable IDs, 43 canonical placements, carry integration and centralized critical-item recovery.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Stable identities, 43 canonical placements, carry integration, central recovery and persistence boundaries exist; production manual stream/save route is pending."
"ITEMCAT-020","P1.ITEM.020","Liquid quantity, pour/fill/spill and container state","All liquid-bearing containers","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B liquid quantity/open state and targeted held-container transfer through project-owned item capabilities.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Liquid quantity/open state and targeted transfer exist; orientation-driven pour/spill, target-specific rules and mass response remain missing."
