ComponentId,GameObjectId,TransformId,HierarchyPath,FsmName,StartState,States,Actions,GameObjectReferences,NamedValues
104848,2536,38589,"SATSUMA(557kg, 248)/Wiring/Triggers/Radio/HarnessRadio","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=17138[SATSUMA(557kg, 248)/Wiring/Triggers/Radio/RadioHarness];db_ThisPart=31304[Database/DatabaseWiring/WiringRadio];ThisWire1=511[SATSUMA(557kg, 248)/Wiring/Parts/wiring_radio(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
105089,3418,39474,"SATSUMA(557kg, 248)/Wiring/Triggers/RegulatorHarness/HarnessRegulator","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=32300[SATSUMA(557kg, 248)/Wiring/Triggers/RegulatorHarness/RegulatorHarness];db_ThisPart=25716[Database/DatabaseWiring/WiringRegulator];ThisWire1=27671[SATSUMA(557kg, 248)/Wiring/Parts/wiring_regulator(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
105652,5498,41555,"SATSUMA(557kg, 248)/Wiring/Triggers/BatteryHarness/BatteryPlusHarness","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=21426[SATSUMA(557kg, 248)/Wiring/Triggers/BatteryHarness/HarnessBatteryPlus];db_ThisPart=30568[Database/DatabaseWiring/WiringBatteryHarness];db_ThisPart2=21525[Database/DatabaseWiring/WiringBatteryPlus];ThisWire1=6818[SATSUMA(557kg, 248)/Wiring/Parts/wiring_battery_harness(xxxxx)];ThisWire2=23982[SATSUMA(557kg, 248)/Wiring/Parts/battery_terminal_plus(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
105688,5625,41681,"SATSUMA(557kg, 248)/Wiring/Triggers/IgnitionFusebox/FuseboxIgnition","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=27694[SATSUMA(557kg, 248)/Wiring/Triggers/IgnitionFusebox/IgnitionFusebox];db_ThisPart=23629[Database/DatabaseWiring/WiringIgnition];ThisWire1=23105[SATSUMA(557kg, 248)/Wiring/Parts/wiring_ignition(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
105732,5788,41844,"SATSUMA(557kg, 248)/Wiring/Triggers/AlternatorRegulator/RegulatorAlternator","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=8271[SATSUMA(557kg, 248)/Wiring/Triggers/AlternatorRegulator/AlternatorRegulator];db_ThisPart=34806[Database/DatabaseWiring/WiringAlternator];ThisWire1=30586[SATSUMA(557kg, 248)/Wiring/Parts/wiring_alternator(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
105758,5917,41971,"SATSUMA(557kg, 248)/Wiring/Triggers/RearlightLeft/ConnectorLight","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=28537[SATSUMA(557kg, 248)/Wiring/Triggers/RearlightLeft/LightConnector];db_ThisPart=8793[Database/DatabaseWiring/WiringRearlightLeft];ThisWire1=21419[SATSUMA(557kg, 248)/Wiring/Parts/wiring_rearlights_left(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
106152,7278,43339,"SATSUMA(557kg, 248)/Wiring/Triggers/SwitchLights/SwitchHarness","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=32943[SATSUMA(557kg, 248)/Wiring/Triggers/SwitchLights/HarnessSwitch];db_ThisPart=33410[Database/DatabaseWiring/WiringSwitchLights];ThisWire1=3190[SATSUMA(557kg, 248)/Wiring/Parts/wiring_switch_light(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
106282,7793,43848,"SATSUMA(557kg, 248)/Wiring/Triggers/HeadlightRight/LightConnector","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=33405[SATSUMA(557kg, 248)/Wiring/Triggers/HeadlightRight/ConnectorLight];db_ThisPart=5837[Database/DatabaseWiring/WiringHeadlightRight];ThisWire1=11736[SATSUMA(557kg, 248)/Wiring/Parts/wiring_headlights_right(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
106413,8271,44324,"SATSUMA(557kg, 248)/Wiring/Triggers/AlternatorRegulator/AlternatorRegulator","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=5788[SATSUMA(557kg, 248)/Wiring/Triggers/AlternatorRegulator/RegulatorAlternator];db_ThisPart=34806[Database/DatabaseWiring/WiringAlternator];ThisWire1=30586[SATSUMA(557kg, 248)/Wiring/Parts/wiring_alternator(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
106951,9923,45978,"SATSUMA(557kg, 248)/Wiring/Triggers/Fueltank/TankConnector","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=15668[SATSUMA(557kg, 248)/Wiring/Triggers/Fueltank/ConnectorTank];db_ThisPart=27107[Database/DatabaseWiring/WiringFueltank];ThisWire1=20456[SATSUMA(557kg, 248)/Wiring/Parts/wiring_fueltank(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
106971,10037,46091,"SATSUMA(557kg, 248)/Wiring/Triggers/MarkerRight/LightConnector","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=19286[SATSUMA(557kg, 248)/Wiring/Triggers/MarkerRight/ConnectorLight];db_ThisPart=18122[Database/DatabaseWiring/WiringMarkerRight];ThisWire1=21458[SATSUMA(557kg, 248)/Wiring/Parts/wiring_marker_right(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
107628,12298,48345,"SATSUMA(557kg, 248)/Wiring/Triggers/GroundBattery/BatteryMinusStarter","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;ArrayListResetValues;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetFsmFloat;SetStringValue","WiringTool=0[];_OtherEnd=32759[SATSUMA(557kg, 248)/Wiring/Triggers/GroundBattery/StarterBatteryMinus];db_ThisPart=7904[Database/DatabaseWiring/WiringGround1];db_ThisPart2=3446[Database/DatabaseWiring/WiringBatteryMinus];ThisWire1=28418[SATSUMA(557kg, 248)/Wiring/Parts/wiring_ground(xxxxx)];ThisWire2=29245[SATSUMA(557kg, 248)/Wiring/Parts/battery_terminal_minus(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
108109,13871,49930,"SATSUMA(557kg, 248)/Wiring/Triggers/RadiatorfanHarness/HarnessRadiatorfan","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=22632[SATSUMA(557kg, 248)/Wiring/Triggers/RadiatorfanHarness/RadiatorfanHarness];db_ThisPart=28845[Database/DatabaseWiring/WiringRadiatorfan];ThisWire1=5504[SATSUMA(557kg, 248)/Wiring/Parts/wiring_radiatorfan(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
108172,14161,50217,"SATSUMA(557kg, 248)/Wiring/Triggers/SubwooferRight/SubwooferAmplifier","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=19119[SATSUMA(557kg, 248)/Wiring/Triggers/SubwooferRight/AmplifierSubwoofer];db_ThisPart=17754[Database/DatabaseWiring/WiringSubwooferRight];ThisWire1=27123[SATSUMA(557kg, 248)/Wiring/Parts/wiring_subwoofer_right(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
108559,15668,51731,"SATSUMA(557kg, 248)/Wiring/Triggers/Fueltank/ConnectorTank","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=9923[SATSUMA(557kg, 248)/Wiring/Triggers/Fueltank/TankConnector];db_ThisPart=27107[Database/DatabaseWiring/WiringFueltank];ThisWire1=20456[SATSUMA(557kg, 248)/Wiring/Parts/wiring_fueltank(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
108802,16562,52626,"SATSUMA(557kg, 248)/Wiring/Triggers/CoilHarness/CoilHarness","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=21942[SATSUMA(557kg, 248)/Wiring/Triggers/CoilHarness/HarnessCoil];db_ThisPart=24055[Database/DatabaseWiring/WiringCoil];ThisWire1=17873[SATSUMA(557kg, 248)/Wiring/Parts/wiring_coil(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
108982,17138,53201,"SATSUMA(557kg, 248)/Wiring/Triggers/Radio/RadioHarness","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=2536[SATSUMA(557kg, 248)/Wiring/Triggers/Radio/HarnessRadio];db_ThisPart=31304[Database/DatabaseWiring/WiringRadio];ThisWire1=511[SATSUMA(557kg, 248)/Wiring/Parts/wiring_radio(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
109475,19119,55178,"SATSUMA(557kg, 248)/Wiring/Triggers/SubwooferRight/AmplifierSubwoofer","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=14161[SATSUMA(557kg, 248)/Wiring/Triggers/SubwooferRight/SubwooferAmplifier];db_ThisPart=17754[Database/DatabaseWiring/WiringSubwooferRight];ThisWire1=27123[SATSUMA(557kg, 248)/Wiring/Parts/wiring_subwoofer_right(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
109482,19143,55203,"SATSUMA(557kg, 248)/Wiring/Triggers/MarkerLeft/LightConnector","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=22205[SATSUMA(557kg, 248)/Wiring/Triggers/MarkerLeft/ConnectorLight];db_ThisPart=8611[Database/DatabaseWiring/WiringMarkerLeft];ThisWire1=10649[SATSUMA(557kg, 248)/Wiring/Parts/wiring_marker_left(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
109521,19286,55349,"SATSUMA(557kg, 248)/Wiring/Triggers/MarkerRight/ConnectorLight","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=10037[SATSUMA(557kg, 248)/Wiring/Triggers/MarkerRight/LightConnector];db_ThisPart=18122[Database/DatabaseWiring/WiringMarkerRight];ThisWire1=21458[SATSUMA(557kg, 248)/Wiring/Parts/wiring_marker_right(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
109887,20590,56657,"SATSUMA(557kg, 248)/Wiring/Triggers/Dash1/FuseboxDash","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=34727[SATSUMA(557kg, 248)/Wiring/Triggers/Dash1/DashFusebox];db_ThisPart=26759[Database/DatabaseWiring/WiringDash1];ThisWire1=11807[SATSUMA(557kg, 248)/Wiring/Parts/wiring_dash1(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
