OwnerPartDefinitionId,OwnerPartTransformId,ComponentId,TriggerGameObjectId,TriggerTransformId,TriggerName,TriggerHierarchyPath,HandChild,ActivateThisGameObjectId,ActivateThisHierarchyPath,ActivationRoots,RequiredGameObjectId,RequiredHierarchyPath,Required1GameObjectId,Required1HierarchyPath,ThisPartGameObjectId,ThisPartName,DetachPartGameObjectId,DetachPartHierarchyPath,ParentGameObjectId,ParentHierarchyPath,BoltsGameObjectId,BoltsHierarchyPath,BoltReferenceStatus,ReferencesBolts,ReferencesBolted
"vehicle.satsuma.part.dashboard",37889,107186,10795,46846,"trigger_fuel_mix_gauge","CARPARTS/PartsCar/dashboard(Clone)/trigger_fuel_mix_gauge","fuel mixture gauge(Clone)",5093,"CARPARTS/PartsCar/dashboard(Clone)/fuel mixture gauge(xxxxx)","ActivateThis=5093:CARPARTS/PartsCar/dashboard(Clone)/fuel mixture gauge(xxxxx)",0,"",0,"",3164,"Fuel Mixture Gauge",0,"",0,"",0,"",NotReferenced,false,false
"vehicle.satsuma.part.engine-block",66906,105872,6337,42390,"trigger_gearbox","CARPARTS/PartsMotor/block(Clone)/trigger_gearbox","gearbox(Clone)",0,"","",0,"",0,"",31625,"Gearbox",0,"",7788,"CARPARTS/PartsMotor/block(Clone)/pivot_gearbox",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.engine-block",66906,107324,11303,47352,"trigger_head gasket","CARPARTS/PartsMotor/block(Clone)/trigger_head gasket","head gasket(Clone)",0,"","",0,"",0,"",28201,"Headgasket",0,"",26842,"CARPARTS/PartsMotor/block(Clone)/pivot_head gasket",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.cylinder-head",41296,108692,16189,52251,"trigger_headers","CARPARTS/PartsMotor/cylinder head(Clone)/Triggers Headers/trigger_headers","headers(Clone)",0,"","",0,"",0,"",17995,"Headers",0,"",14654,"CARPARTS/PartsMotor/cylinder head(Clone)/pivot_headers",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.wheel-stock-rl",50534,106841,9593,45647,"trigger_hubcap","CARPARTS/PartsCar/wheel_steel3/trigger_hubcap","hubcap(Clone)",0,"","",0,"",0,"",0,"",0,"",10717,"CARPARTS/PartsCar/wheel_steel3/pivot_hubcap",0,"",NotReferenced,false,false
"vehicle.satsuma.part.wheel-stock-fr",61000,108667,16074,52137,"trigger_hubcap","CARPARTS/PartsCar/wheel_steel2/trigger_hubcap","hubcap(Clone)",0,"","",0,"",0,"",0,"",0,"",31244,"CARPARTS/PartsCar/wheel_steel2/pivot_hubcap",0,"",NotReferenced,false,false
"vehicle.satsuma.part.wheel-stock-rr",63620,109272,18284,54339,"trigger_hubcap","CARPARTS/PartsCar/wheel_steel4/trigger_hubcap","hubcap(Clone)",0,"","",0,"",0,"",0,"",0,"",15834,"CARPARTS/PartsCar/wheel_steel4/pivot_hubcap",0,"",NotReferenced,false,false
"vehicle.satsuma.part.wheel-stock-fl",70305,110951,24276,60339,"trigger_hubcap","CARPARTS/PartsCar/wheel_steel1/trigger_hubcap","hubcap(Clone)",0,"","",0,"",0,"",0,"",0,"",2776,"CARPARTS/PartsCar/wheel_steel1/pivot_hubcap",0,"",NotReferenced,false,false
"vehicle.satsuma.part.gearbox",37593,111310,25446,61506,"trigger_inspection_cover","CARPARTS/PartsMotor/gearbox(Clone)/trigger_inspection_cover","inspection cover(Clone)",0,"","",0,"",0,"",11194,"InspectionCover",0,"",5740,"CARPARTS/PartsMotor/gearbox(Clone)/pivot_inspection_cover",0,"",NotReferenced,false,false
"vehicle.satsuma.part.engine-block",66906,113599,33133,69193,"trigger_main bearing1","CARPARTS/PartsMotor/block(Clone)/trigger_main bearing1","main bearing1(Clone)",0,"","",0,"",0,"",30236,"CrankBearing1",0,"",33345,"CARPARTS/PartsMotor/block(Clone)/pivot_main bearing1",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.engine-block",66906,109146,17811,53871,"trigger_main bearing2","CARPARTS/PartsMotor/block(Clone)/trigger_main bearing2","main bearing2(Clone)",0,"","",0,"",0,"",29019,"CrankBearing2",0,"",35279,"CARPARTS/PartsMotor/block(Clone)/pivot_main bearing2",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.engine-block",66906,104327,823,36878,"trigger_main bearing3","CARPARTS/PartsMotor/block(Clone)/trigger_main bearing3","main bearing3(Clone)",0,"","",0,"",0,"",31512,"CrankBearing3",0,"",4462,"CARPARTS/PartsMotor/block(Clone)/pivot_main bearing3",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.dashboard",37889,107433,11661,47710,"trigger_meters","CARPARTS/PartsCar/dashboard(Clone)/trigger_meters","dashboard meters(Clone)",0,"","",0,"",0,"",16587,"DashboardMeters",1830,"CARPARTS/PartsCar/dashboard(Clone)",17688,"CARPARTS/PartsCar/dashboard(Clone)/pivot_meters",0,"",EvidenceBackedNullDonorObjectException,true,true
"vehicle.satsuma.part.fender-left",68921,104234,507,36557,"trigger_mudflap_fl","CARPARTS/PartsCar/fender left(Clone)/trigger_mudflap_fl","mudflap fl(Clone)",5511,"CARPARTS/PartsCar/fender left(Clone)/mudflap fl(xxxxx)","ActivateThis=5511:CARPARTS/PartsCar/fender left(Clone)/mudflap fl(xxxxx)",0,"",0,"",33849,"Mudflap_FL",0,"",0,"",0,"",NotReferenced,false,false
"vehicle.satsuma.part.fender-right",45852,114192,35350,71398,"trigger_mudflap_fr","CARPARTS/PartsCar/fender right(Clone)/trigger_mudflap_fr","mudflap fr(Clone)",12503,"CARPARTS/PartsCar/fender right(Clone)/mudflap fr(xxxxx)","ActivateThis=12503:CARPARTS/PartsCar/fender right(Clone)/mudflap fr(xxxxx)",0,"",0,"",15900,"Mudflap_FR",0,"",0,"",0,"",NotReferenced,false,false
"vehicle.satsuma.part.dashboard-meters",52392,113990,34548,70601,"trigger_n2o_button_panel","CARPARTS/PartsCar/dashboard meters(Clone)/trigger_n2o_button_panel","n2o button panel(Clone)",23459,"CARPARTS/PartsCar/dashboard meters(Clone)/n2o button panel(xxxxx)","ActivateThis=23459:CARPARTS/PartsCar/dashboard meters(Clone)/n2o button panel(xxxxx)",0,"",0,"",25386,"N2O Button Panel",0,"",0,"",0,"",NotReferenced,false,false
"vehicle.satsuma.part.engine-block",66906,110346,22114,58168,"trigger_oil filter","CARPARTS/PartsMotor/block(Clone)/trigger_oil filter","oil filter(Clone)",0,"","",0,"",0,"",35391,"Oilfilter",0,"",8159,"CARPARTS/PartsMotor/block(Clone)/pivot_oil filter",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.engine-block",66906,108173,14166,50222,"trigger_oilpan","CARPARTS/PartsMotor/block(Clone)/trigger_oilpan","oilpan(Clone)",0,"","",0,"",0,"",23052,"Oilpan",0,"",5872,"CARPARTS/PartsMotor/block(Clone)/pivot_oilpan",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.engine-block",66906,106238,7609,43663,"trigger_piston1","CARPARTS/PartsMotor/block(Clone)/trigger_piston1","piston1(Clone)",17851,"CARPARTS/PartsMotor/piston1(Clone)","ActivateThis=17851:CARPARTS/PartsMotor/piston1(Clone)",0,"",32629,"Database/DatabaseMotor/Crankshaft",2170,"Piston1",32707,"CARPARTS/PartsMotor/crankshaft(Clone)",20885,"CARPARTS/PartsMotor/block(Clone)/pivot_piston1",0,"",EvidenceBackedNullDonorObjectException,true,true
"vehicle.satsuma.part.engine-block",66906,107760,12763,48809,"trigger_piston2","CARPARTS/PartsMotor/block(Clone)/trigger_piston2","piston2(Clone)",18808,"CARPARTS/PartsMotor/piston2(Clone)","ActivateThis=18808:CARPARTS/PartsMotor/piston2(Clone)",0,"",32629,"Database/DatabaseMotor/Crankshaft",16624,"Piston2",32707,"CARPARTS/PartsMotor/crankshaft(Clone)",13103,"CARPARTS/PartsMotor/block(Clone)/pivot_piston2",0,"",EvidenceBackedNullDonorObjectException,true,true
"vehicle.satsuma.part.engine-block",66906,105370,4523,40576,"trigger_piston3","CARPARTS/PartsMotor/block(Clone)/trigger_piston3","piston3(Clone)",20011,"CARPARTS/PartsMotor/piston3(Clone)","ActivateThis=20011:CARPARTS/PartsMotor/piston3(Clone)",0,"",32629,"Database/DatabaseMotor/Crankshaft",20184,"Piston3",32707,"CARPARTS/PartsMotor/crankshaft(Clone)",12949,"CARPARTS/PartsMotor/block(Clone)/pivot_piston3",0,"",EvidenceBackedNullDonorObjectException,true,true
"vehicle.satsuma.part.engine-block",66906,113228,31845,67901,"trigger_piston4","CARPARTS/PartsMotor/block(Clone)/trigger_piston4","piston4(Clone)",8049,"CARPARTS/PartsMotor/piston4(Clone)","ActivateThis=8049:CARPARTS/PartsMotor/piston4(Clone)",0,"",32629,"Database/DatabaseMotor/Crankshaft",10907,"Piston4",32707,"CARPARTS/PartsMotor/crankshaft(Clone)",8726,"CARPARTS/PartsMotor/block(Clone)/pivot_piston4",0,"",EvidenceBackedNullDonorObjectException,true,true
"vehicle.satsuma.part.engine-block",66906,110701,23298,59354,"trigger_racing head","CARPARTS/PartsMotor/block(Clone)/trigger_racing head","racing cylinder head(Clone)",0,"","",0,"",0,"",0,"",0,"",8120,"CARPARTS/PartsMotor/block(Clone)/pivot_cylinder head",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.dashboard",37889,107388,11510,47557,"trigger_radar_buster","CARPARTS/PartsCar/dashboard(Clone)/trigger_radar_buster","radar buster(Clone)",0,"","",0,"",0,"",545,"Radar Buster",0,"",26947,"CARPARTS/PartsCar/dashboard(Clone)/pivot_radar_buster",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.engine-block",66906,111681,26905,62958,"trigger_radiator hose2","CARPARTS/PartsMotor/block(Clone)/trigger_radiator hose2","radiator hose2(Clone)",0,"","",0,"",0,"",19790,"RadiatorHose2",0,"",35743,"CARPARTS/PartsMotor/block(Clone)/pivot_radiator hose2",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.dashboard-meters",52392,105277,4176,40236,"trigger_radio","CARPARTS/PartsCar/dashboard meters(Clone)/TriggersRadio/trigger_radio","radio(Clone)",0,"","",0,"",0,"",18160,"Radio",0,"",1927,"CARPARTS/PartsCar/dashboard meters(Clone)/pivot_radio",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.bootlid",57097,114253,35558,71605,"trigger_rear_spoiler","CARPARTS/PartsCar/bootlid(Clone)/trigger_rear_spoiler","",0,"","",0,"",0,"",0,"",0,"",0,"",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.bumper-front",66293,109990,20918,56980,"trigger_regplate_front","CARPARTS/PartsCar/bumper front(Clone)/trigger_regplate_front","register plate(Clone)",33717,"CARPARTS/PartsCar/bumper front(Clone)/RegPlateFront","ActivateThis=33717:CARPARTS/PartsCar/bumper front(Clone)/RegPlateFront",0,"",0,"",9233,"RegPlateFront",0,"",0,"",0,"",NotReferenced,false,false
"vehicle.satsuma.part.bootlid",57097,109898,20623,56690,"trigger_regplate_rear","CARPARTS/PartsCar/bootlid(Clone)/trigger_regplate_rear","register plate(Clone)",11106,"CARPARTS/PartsCar/bootlid(Clone)/RegPlateRear","ActivateThis=11106:CARPARTS/PartsCar/bootlid(Clone)/RegPlateRear",0,"",0,"",13818,"RegPlateRear",0,"",0,"",0,"",NotReferenced,false,false
"vehicle.satsuma.part.cylinder-head",41296,104585,1686,37745,"trigger_rocker cover","CARPARTS/PartsMotor/cylinder head(Clone)/trigger_rocker cover","",0,"","",0,"",0,"",0,"",0,"",27951,"CARPARTS/PartsMotor/cylinder head(Clone)/pivot_rocker cover",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.cylinder-head",41296,109502,19194,55254,"trigger_rocker shaft","CARPARTS/PartsMotor/cylinder head(Clone)/trigger_rocker shaft","rocker shaft(Clone)",0,"","",0,"",0,"",19072,"RockerShaft",0,"",13420,"CARPARTS/PartsMotor/cylinder head(Clone)/pivot_rocker shaft",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.dashboard-meters",52392,107850,13018,49068,"trigger_rpm","CARPARTS/PartsCar/dashboard meters(Clone)/TriggersGauge/trigger_rpm","rpm gauge(Clone)",0,"","",0,"",0,"",5742,"GaugeRPM",0,"",12719,"CARPARTS/PartsCar/dashboard meters(Clone)/pivot_gauge",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.seat-driver",71493,110272,21884,57939,"trigger_seat_cover1","CARPARTS/PartsCar/seat driver(Clone)/trigger_seat_cover1","",19684,"CARPARTS/PartsCar/seat driver(Clone)/seat cover(xxxx1)","ActivateThis1=19684:CARPARTS/PartsCar/seat driver(Clone)/seat cover(xxxx1)|ActivateThis2=16126:CARPARTS/PartsCar/seat passenger(Clone)/seat cover(xxxx2)",0,"",0,"",0,"",0,"",0,"",0,"",NotReferenced,false,false
"vehicle.satsuma.part.seat-passenger",53013,109665,19754,55820,"trigger_seat_cover2","CARPARTS/PartsCar/seat passenger(Clone)/trigger_seat_cover2","",19684,"CARPARTS/PartsCar/seat driver(Clone)/seat cover(xxxx1)","ActivateThis1=19684:CARPARTS/PartsCar/seat driver(Clone)/seat cover(xxxx1)|ActivateThis2=16126:CARPARTS/PartsCar/seat passenger(Clone)/seat cover(xxxx2)",0,"",0,"",0,"",0,"",0,"",0,"",NotReferenced,false,false
"vehicle.satsuma.part.cylinder-head",41296,110723,23385,59443,"trigger_sparkplug1","CARPARTS/PartsMotor/cylinder head(Clone)/trigger_sparkplug1","spark plug(Clone)",0,"","",0,"",0,"",844,"Sparkplug1",0,"",32826,"CARPARTS/PartsMotor/cylinder head(Clone)/pivot_sparkplug1",0,"",NotReferenced,false,false
"vehicle.satsuma.part.cylinder-head",41296,106588,8829,44884,"trigger_sparkplug2","CARPARTS/PartsMotor/cylinder head(Clone)/trigger_sparkplug2","spark plug(Clone)",0,"","",0,"",0,"",34637,"Sparkplug2",0,"",724,"CARPARTS/PartsMotor/cylinder head(Clone)/pivot_sparkplug2",0,"",NotReferenced,false,false
"vehicle.satsuma.part.cylinder-head",41296,113017,31085,67143,"trigger_sparkplug3","CARPARTS/PartsMotor/cylinder head(Clone)/trigger_sparkplug3","spark plug(Clone)",0,"","",0,"",0,"",9428,"Sparkplug3",0,"",19715,"CARPARTS/PartsMotor/cylinder head(Clone)/pivot_sparkplug3",0,"",NotReferenced,false,false
"vehicle.satsuma.part.cylinder-head",41296,105793,6064,42118,"trigger_sparkplug4","CARPARTS/PartsMotor/cylinder head(Clone)/trigger_sparkplug4","spark plug(Clone)",0,"","",0,"",0,"",10828,"Sparkplug4",0,"",17120,"CARPARTS/PartsMotor/cylinder head(Clone)/pivot_sparkplug4",0,"",NotReferenced,false,false
"vehicle.satsuma.part.engine-plate",70364,104122,20,36065,"trigger_starter","CARPARTS/PartsMotor/engine plate(Clone)/trigger_starter","starter(Clone)",0,"","",0,"",0,"",1999,"Starter",0,"",23494,"CARPARTS/PartsMotor/engine plate(Clone)/pivot_starter",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.cylinder-head",41296,110068,21169,57233,"trigger_steel headers","CARPARTS/PartsMotor/cylinder head(Clone)/Triggers Headers/trigger_steel headers","steel headers(Clone)",0,"","",0,"",0,"",13357,"Steel Headers",0,"",14654,"CARPARTS/PartsMotor/cylinder head(Clone)/pivot_headers",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.subwoofer-panel",48319,109506,19225,55286,"trigger_subwoofer_left","CARPARTS/PartsCar/subwoofer panel(Clone)/trigger_subwoofer_left","subwoofer left(Clone)",0,"","",0,"",0,"",32048,"Subwoofer_Left",0,"",23461,"CARPARTS/PartsCar/subwoofer panel(Clone)/pivot_subwoofer_left",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.subwoofer-panel",48319,104943,2886,38944,"trigger_subwoofer_right","CARPARTS/PartsCar/subwoofer panel(Clone)/trigger_subwoofer_right","subwoofer right(Clone)",0,"","",0,"",0,"",29458,"Subwoofer_Right",0,"",35886,"CARPARTS/PartsCar/subwoofer panel(Clone)/pivot_subwoofer_right",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.dashboard",37889,107989,13492,49546,"trigger_tachometer2","CARPARTS/PartsCar/dashboard(Clone)/trigger_tachometer2","tachometer(Clone)",21572,"CARPARTS/PartsCar/dashboard(Clone)/tachometer(xxxx2)","ActivateThis=21572:CARPARTS/PartsCar/dashboard(Clone)/tachometer(xxxx2)",0,"",0,"",32561,"Tachometer",0,"",0,"",0,"",NotReferenced,false,false
"vehicle.satsuma.part.camshaft-gear",64992,108011,13579,49634,"trigger_timing chain","CARPARTS/PartsMotor/camshaft gear(Clone)/trigger_timing chain","timing chain(Clone)",0,"","",0,"",22044,"Database/DatabaseMotor/Timingcover",23,"Timingchain",0,"",10036,"CARPARTS/PartsMotor/camshaft gear(Clone)/pivot_timing chain",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.engine-block",66906,110006,20963,57025,"trigger_timing cover","CARPARTS/PartsMotor/block(Clone)/trigger_timing cover","timing cover(Clone)",0,"","",0,"",0,"",22044,"Timingcover",0,"",16659,"CARPARTS/PartsMotor/block(Clone)/pivot_timing cover",0,"",EvidenceBackedNullDonorObjectException,true,false
