Group,DonorLooseName,PartDefinitionId,LooseTransformId,Status,LooseRendererCount,MatchedPairCount,BestPoseCount,BestDistinctRendererSupport,BestPairSupport,LocalPosition,LocalRotation,LocalScale,InstalledRendererTransformIds,InstalledRendererHierarchyPaths
"PartsCar","rear light left(Clone)","vehicle.satsuma.part.rear-light-left",43374,AmbiguousMeshDerivedPose,2,4,2,2,2,"-0.560058236;0.1708089;-1.799988","1.15494409E-07;0.7071069;0.7071067;-1.1446275E-07","0.9999999;1.00000012;1.00000024","44424;53170","SATSUMA(557kg, 248)/MiscParts/rearlight(leftx) | SATSUMA(557kg, 248)/MiscParts/rearlight(leftx)/light_rear_lights"
"PartsCar","fur dices(Clone)","vehicle.satsuma.part.fur-dices",44338,AmbiguousMeshDerivedPose,2,4,4,1,1,"-0.0222571976;0.482300073;0.357860416","0.353804231;0.7015057;-0.6122277;0.08882289","0.9999997;0.999999464;1","40704","SATSUMA(557kg, 248)/Interior/fur dices(xxxxx)/fur_dice2"
"PartsCar","radiator hose3(Clone)","vehicle.satsuma.part.radiator-hose3",45342,UniqueMeshDerivedPose,1,1,1,1,1,"-0.300000131;-0.109191425;1.19999957","1.31137966E-07;0.707106769;0.7071068;-1.14581688E-07","1.00000012;1.00000012;1.00000024","64836","SATSUMA(557kg, 248)/MiscParts/radiator hose3(xxxxx)"
"PartsCar","mudflap rr(Clone)","vehicle.satsuma.part.mudflap-rr",45734,UniqueMeshDerivedPose,1,1,1,1,1,"0.615427852;-0.2125003;-1.47528863","-3.47988021E-07;0.707106948;0.70710665;3.46005748E-07","1;1.00000012;1.00000012","65455","SATSUMA(557kg, 248)/MiscParts/mudflap rr(xxxxx)"
"PartsCar","fender right(Clone)","vehicle.satsuma.part.fender-right",45852,Unresolved,7,0,0,0,0,"","","","",""
"PartsCar","headlight left(Clone)","vehicle.satsuma.part.headlight-left",45890,AmbiguousMeshDerivedPose,4,5,2,1,2,"-0.5100009;0.13958326;1.63537657","8.997889E-08;0.707107;0.7071066;-1.37041525E-07","1;0.99999994;0.99999994","38786;39374","SATSUMA(557kg, 248)/Electricity/PowerON/BeamsLong/BeamLongLeft/light_front_drive_l | SATSUMA(557kg, 248)/Electricity/PowerON/BeamsShort/BeamShortLeft/light_front_drive_l"
"PartsCar","exhaust muffler(Clone)","vehicle.satsuma.part.exhaust-muffler",46044,Unresolved,2,0,0,0,0,"","","","",""
"PartsCar","steering rack(Clone)","vehicle.satsuma.part.steering-rack",46700,UniqueMeshDerivedPose,1,1,1,1,1,"-3.87368772E-07;-0.192316964;1.007995","-1.490607E-06;0.7071066;0.707107067;1.58716637E-06","1.00000024;1;0.99999994","68773","SATSUMA(557kg, 248)/Chassis/steering rack(xxxxx)"
"PartsCar","halfshaft(Clone)","vehicle.satsuma.part.halfshaft-2",46849,AmbiguousMeshDerivedPose,2,2,2,1,1,"-0.06927439;-0.222925052;1.16252363","5.995922E-10;1;-2.38418579E-07;5.73106682E-08","1.00000048;1;1.00000012","40854","SATSUMA(557kg, 248)/Chassis/FL/halfshaft_fl/halfshaft(xxxxx)/gearbox_axle2"
"PartsCar","hubcap(Clone)","vehicle.satsuma.part.hubcap-1",47037,Unresolved,1,0,0,0,0,"","","","",""
"PartsCar","fuel strainer(Clone)","vehicle.satsuma.part.fuel-strainer",47094,UniqueMeshDerivedPose,1,1,1,1,1,"0.349999875;-0.0591915138;1.02999842","1.15202312E-07;0.707106769;0.7071068;-1.15202333E-07","1;1.00000012;1.00000012","36947","SATSUMA(557kg, 248)/MiscParts/fuel strainer(xxxxx)"
"PartsCar","gear stick(Clone)","vehicle.satsuma.part.gear-stick",47287,AmbiguousMeshDerivedPose,2,2,2,1,1,"5.157608E-09;-0.221745536;0.5001216","1.0061915E-06;0.707106948;0.70710665;-1.65678978E-06","1.00000012;1.00000012;1.00000024","70609","SATSUMA(557kg, 248)/Dashboard/gear stick(xxxxx)/GearLever/Pivot/Lever/gear_stick"
"PartsCar","clutch lining(Clone)","vehicle.satsuma.part.clutch-lining",47661,UniqueMeshDerivedPose,1,1,1,1,1,"0.249997377;-0.0561913848;1.17999983","3.016725E-08;0.7071069;0.7071067;-3.35838948E-08","1.00000024;1.00000024;1.00000012","52429","SATSUMA(557kg, 248)/MiscParts/clutch lining(xxxxx)"
"PartsCar","mudflap fl(Clone)","vehicle.satsuma.part.mudflap-fl",47786,Unresolved,1,0,0,0,0,"","","","",""
"PartsCar","sub frame(Clone)","vehicle.satsuma.part.sub-frame",48029,UniqueMeshDerivedPose,1,1,1,1,1,"-2.770955E-07;-0.241712257;1.20000041","3.827466E-08;0.7071073;0.7071063;-5.934715E-08","1.00000024;1.00000012;1.00000012","47402","SATSUMA(557kg, 248)/Chassis/sub frame(xxxxx)"
"PartsCar","subwoofer panel(Clone)","vehicle.satsuma.part.subwoofer-panel",48319,Unresolved,1,0,0,0,0,"","","","",""
"PartsCar","fuel tank(Clone)","vehicle.satsuma.part.fuel-tank",48576,Unresolved,9,0,0,0,0,"","","","",""
"PartsCar","handbrake(Clone)","vehicle.satsuma.part.handbrake",48714,UniqueMeshDerivedPose,2,2,1,2,2,"4.69818051E-09;-0.225091591;0.0338998325","1.13959537E-07;0.707106769;0.7071068;-1.16445136E-07","1;1.00000012;1.00000012","50119;65418","SATSUMA(557kg, 248)/MiscParts/HandBrake/handbrake(xxxxx)/handbrake lever/mesh | SATSUMA(557kg, 248)/MiscParts/HandBrake/handbrake(xxxxx)"
"PartsCar","wheel_steel3","vehicle.satsuma.part.wheel-stock-rl",50534,Unresolved,5,0,0,0,0,"","","","",""
"PartsCar","grille(Clone)","vehicle.satsuma.part.grille",51053,Unresolved,4,0,0,0,0,"","","","",""
"PartsCar","steering rod fr(Clone)","vehicle.satsuma.part.steering-rod-fr",51647,Unresolved,1,0,0,0,0,"","","","",""
"PartsCar","battery0","vehicle.satsuma.part.battery",51854,Unresolved,1,0,0,0,0,"","","","",""
"PartsCar","mudflap rl(Clone)","vehicle.satsuma.part.mudflap-rl",52142,UniqueMeshDerivedPose,1,1,1,1,1,"-0.615423858;-0.212499827;-1.47528982","-3.47509655E-07;0.7071069;0.7071067;3.43917634E-07","1.00000012;1.00000012;1.00000024","65054","SATSUMA(557kg, 248)/MiscParts/mudflap rl(xxxxx)"
"PartsCar","dashboard meters(Clone)","vehicle.satsuma.part.dashboard-meters",52392,Unresolved,21,0,0,0,0,"","","","",""
"PartsCar","seat passenger(Clone)","vehicle.satsuma.part.seat-passenger",53013,Unresolved,8,0,0,0,0,"","","","",""
"PartsCar","clutch master cylinder(Clone)","vehicle.satsuma.part.clutch-master-cylinder",53194,AmbiguousMeshDerivedPose,2,4,4,1,1,"-0.3200001;0.120808057;1.04999888","1.16354819E-07;0.7071069;0.7071067;-1.14565417E-07","1;1.00000024;1.00000024","41150","SATSUMA(557kg, 248)/MiscParts/clutch master cylinder(xxxxx)"
"PartsCar","strut fr(Clone)","vehicle.satsuma.part.strut-fr",53284,Unresolved,1,0,0,0,0,"","","","",""
"PartsCar","steering column(Clone)","vehicle.satsuma.part.steering-column",53786,UniqueMeshDerivedPose,3,3,1,2,2,"-0.234630927;0.07962209;0.65096736","0.006680445;0.447045863;0.8942933;-0.0185724683","0.9999998;1.00000012;1","37528;52534","SATSUMA(557kg, 248)/Dashboard/Steering/steering_column2 | SATSUMA(557kg, 248)/Dashboard/Steering/CarSteeringPivot/steering column(xxxxx)"
"PartsCar","drum brake(Clone)","vehicle.satsuma.part.drum-brake-2",54967,AmbiguousMeshDerivedPose,1,2,2,1,1,"-0.6029994;-0.149999753;-1.16700029","-5.152282E-10;-1.54845886E-10;1;4.370832E-08","1.00000012;1;1","40078","SATSUMA(557kg, 248)/RL/wheelRL/TireRL/drumbrake rl(xxxxx)"
"PartsCar","brake master cylinder(Clone)","vehicle.satsuma.part.brake-master-cylinder",56655,AmbiguousMeshDerivedPose,3,7,7,1,1,"-0.3336052;0.121408947;1.07723486","-0.116257757;0.6974843;0.697483659;0.116259694","0.9999998;0.9999998;1.00000012","68490","SATSUMA(557kg, 248)/MiscParts/clutch master cylinder(xxxxx)/OpenCap/mesh"
"PartsCar","bootlid(Clone)","vehicle.satsuma.part.bootlid",57097,UniqueMeshDerivedPose,9,1,1,1,1,"-1.083683E-05;0.410671055;-1.50024235","-7.8136884E-07;0.7071063;0.707107365;1.9620666E-08","1;0.99999994;1","60308","SATSUMA(557kg, 248)/Body/pivot_bootlid/hooks"
"PartsCar","shock absorber(Clone)","vehicle.satsuma.part.shock-absorber-2",58041,AmbiguousMeshDerivedPose,2,4,4,1,1,"-0.474999547;-0.0532988571;-1.09700084","9.084645E-09;0.7071066;0.707106948;-6.25364538E-10","1;1;0.99999994","54385","SATSUMA(557kg, 248)/Chassis/RL/TrailArm/Arm/ShockBottom/Arm/shock_bottom_mesh"
"PartsCar","wishbone fr(Clone)","vehicle.satsuma.part.wishbone-fr",58410,UniqueMeshDerivedPose,1,1,1,1,1,"0.3199986;-0.275430024;1.16699922","-0.03700906;0.7061378;0.7061378;-0.0370052867","1.00000012;1.00000024;1","70876","SATSUMA(557kg, 248)/Chassis/FR/Wishbone/Arm/IK_wishbone_fr/wishbone fr(xxxxx)"
"PartsCar","mudflap fr(Clone)","vehicle.satsuma.part.mudflap-fr",58945,Unresolved,1,0,0,0,0,"","","","",""
"PartsCar","door left(Clone)","vehicle.satsuma.part.door-left",59626,Unresolved,13,0,0,0,0,"","","","",""
"PartsCar","clock gauge(Clone)","vehicle.satsuma.part.clock-gauge",60864,Unresolved,7,0,0,0,0,"","","","",""
"PartsCar","wheel_steel2","vehicle.satsuma.part.wheel-stock-fr",61000,Unresolved,5,0,0,0,0,"","","","",""
"PartsCar","brake lining(Clone)","vehicle.satsuma.part.brake-lining",61305,UniqueMeshDerivedPose,1,1,1,1,1,"-2.911565E-07;-0.0191915128;0.9800002","1.15202333E-07;0.707106769;0.7071068;-1.15202347E-07","1;1.00000012;1.00000012","48439","SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)"
"PartsCar","radiator(Clone)","vehicle.satsuma.part.radiator",61313,UniqueMeshDerivedPose,2,4,1,2,2,"-0.1399994;0.0608084723;1.58999979","1.15202333E-07;0.707106769;0.7071068;-1.15202347E-07","1;1.00000012;1.00000012","66826;71613","SATSUMA(557kg, 248)/MiscParts/radiator(xxxxx)/radiator_flect | SATSUMA(557kg, 248)/MiscParts/radiator(xxxxx)"
"PartsCar","spindle fr(Clone)","vehicle.satsuma.part.spindle-fr",61863,UniqueMeshDerivedPose,1,1,1,1,1,"0.580001354;-0.1500005;1.16907656","3.49306433E-08;0.7071071;0.7071065;-7.75348141E-08","1.00000024;1.00000012;1.00000012","58329","SATSUMA(557kg, 248)/FR/AckerFR/wheelFR/SpindleFR/OFFSET/spindle fr(xxxxx)"
"PartsCar","trail arm rr(Clone)","vehicle.satsuma.part.trail-arm-rr",62351,UniqueMeshDerivedPose,1,1,1,1,1,"0.423000485;-0.21529977;-0.857000768","3.0704193E-08;0.7071069;0.7071067;-3.072817E-08","1.00000036;1.00000012;1.00000012","69310","SATSUMA(557kg, 248)/Chassis/RR/TrailArm/Arm/trail arm rr(xxxxx)"
"PartsCar","rear light right(Clone)","vehicle.satsuma.part.rear-light-right",62814,AmbiguousMeshDerivedPose,2,4,4,1,1,"-0.5600582;0.170807913;-1.79998827","-0.06161392;0.302876651;0.9509382;0.0136329206","-0.99999994;1;0.9999998","44424","SATSUMA(557kg, 248)/MiscParts/rearlight(leftx)"
"PartsCar","headlight right(Clone)","vehicle.satsuma.part.headlight-right",63443,AmbiguousMeshDerivedPose,4,5,2,1,2,"-0.5100008;0.139583543;1.63537657","9.64197E-08;0.707106948;0.7071066;-1.304508E-07","0.9999999;0.99999994;1","38786;39374","SATSUMA(557kg, 248)/Electricity/PowerON/BeamsLong/BeamLongLeft/light_front_drive_l | SATSUMA(557kg, 248)/Electricity/PowerON/BeamsShort/BeamShortLeft/light_front_drive_l"
"PartsCar","hubcap(Clone)","vehicle.satsuma.part.hubcap-2",63508,Unresolved,1,0,0,0,0,"","","","",""
"PartsCar","wheel_steel4","vehicle.satsuma.part.wheel-stock-rr",63620,Unresolved,5,0,0,0,0,"","","","",""
"PartsCar","hood(Clone)","vehicle.satsuma.part.hood",63703,Unresolved,5,0,0,0,0,"","","","",""
"PartsCar","exhaust pipe(Clone)","vehicle.satsuma.part.exhaust-pipe",64076,Unresolved,4,0,0,0,0,"","","","",""
"PartsCar","disc brake(Clone)","vehicle.satsuma.part.disc-brake-2",64768,AmbiguousMeshDerivedPose,1,2,2,1,1,"-0.579999447;-0.15000017;1.16699958","-2.840309E-07;-5.24920019E-08;1;-2.25495614E-06","1;1;1","36394","SATSUMA(557kg, 248)/FL/AckerFL/wheelFL/TireFL/OFFSET/discbrake(flxxx)"
"PartsCar","radio(Clone)","vehicle.satsuma.part.radio",65305,Unresolved,4,0,0,0,0,"","","","",""
"PartsCar","door right(Clone)","vehicle.satsuma.part.door-right",66117,Unresolved,12,0,0,0,0,"","","","",""
"PartsCar","bumper front(Clone)","vehicle.satsuma.part.bumper-front",66293,Unresolved,4,0,0,0,0,"","","","",""
"PartsCar","hubcap(Clone)","vehicle.satsuma.part.hubcap-3",66790,Unresolved,1,0,0,0,0,"","","","",""
"PartsCar","gear linkage(Clone)","vehicle.satsuma.part.gear-linkage",67967,UniqueMeshDerivedPose,1,1,1,1,1,"-0.0009998245;-0.2891915;0.84","1.15176043E-07;0.7071067;0.7071069;-1.1517605E-07","1.00000012;1.00000012;1.00000012","38941","SATSUMA(557kg, 248)/MiscParts/gear linkage(xxxxx)"
"PartsCar","fender left(Clone)","vehicle.satsuma.part.fender-left",68921,Unresolved,7,0,0,0,0,"","","","",""
"PartsCar","hubcap(Clone)","vehicle.satsuma.part.hubcap-4",69098,Unresolved,1,0,0,0,0,"","","","",""
"PartsCar","coil spring(Clone)","vehicle.satsuma.part.coil-spring-1",69338,Unresolved,1,0,0,0,0,"","","","",""
"PartsCar","spindle fl(Clone)","vehicle.satsuma.part.spindle-fl",69454,UniqueMeshDerivedPose,1,1,1,1,1,"-0.5799994;-0.1500008;1.16907668","3.19183435E-08;0.7071068;0.707106769;-3.06933146E-08","1.00000024;1.00000024;1.00000012","57671","SATSUMA(557kg, 248)/FL/AckerFL/wheelFL/SpindleFL/OFFSET/spindle fl(xxxxx)"
"PartsCar","wheel_steel1","vehicle.satsuma.part.wheel-stock-fl",70305,Unresolved,5,0,0,0,0,"","","","",""
"PartsCar","seat rear(Clone)","vehicle.satsuma.part.seat-rear",71066,Unresolved,5,0,0,0,0,"","","","",""
"PartsCar","steering rod fl(Clone)","vehicle.satsuma.part.steering-rod-fl",71283,Unresolved,1,0,0,0,0,"","","","",""
"PartsCar","seat driver(Clone)","vehicle.satsuma.part.seat-driver",71493,Unresolved,8,0,0,0,0,"","","","",""
"PartsCar","trail arm rl(Clone)","vehicle.satsuma.part.trail-arm-rl",71641,UniqueMeshDerivedPose,1,1,1,1,1,"-0.42299962;-0.215300068;-0.8570005","3.41191644E-08;0.7071068;0.707106769;-3.41326718E-08","1.00000024;1.00000024;1.00000024","47549","SATSUMA(557kg, 248)/Chassis/RL/TrailArm/Arm/trail arm rl(xxxxx)"
"PartsCar","coil spring(Clone)","vehicle.satsuma.part.coil-spring-2",71814,Unresolved,1,0,0,0,0,"","","","",""
"PartsExtra","long coil spring(Clone)","vehicle.satsuma.part.extra-long-coil-spring-1",52653,Unresolved,1,0,0,0,0,"","","","",""
"PartsExtra","dash cover suomi(Clone)","vehicle.satsuma.part.extra-dash-cover-suomi",61507,Unresolved,1,0,0,0,0,"","","","",""
"PartsExtra","long coil spring(Clone)","vehicle.satsuma.part.extra-long-coil-spring-2",65271,Unresolved,1,0,0,0,0,"","","","",""
"PartsExtra","wheel cover suomi(Clone)","vehicle.satsuma.part.extra-wheel-cover-suomi",68715,Unresolved,1,0,0,0,0,"","","","",""
"PartsExtra","seat cover suomi(Clone)","vehicle.satsuma.part.extra-seat-cover-suomi",68820,Unresolved,1,0,0,0,0,"","","","",""
"PartsGT","rocker cover gt(Clone)","vehicle.satsuma.part.gt-rocker-cover-gt",40984,Unresolved,8,0,0,0,0,"","","","",""
"PartsGT","wheel_gt4","vehicle.satsuma.part.wheel-gt-rr",46605,Unresolved,6,0,0,0,0,"","","","",""
"PartsGT","wheel_gt2","vehicle.satsuma.part.wheel-gt-fr",53724,Unresolved,6,0,0,0,0,"","","","",""
"PartsGT","gt steering wheel(Clone)","vehicle.satsuma.part.gt-gt-steering-wheel",56665,Unresolved,2,0,0,0,0,"","","","",""
"PartsGT","wheel_gt3","vehicle.satsuma.part.wheel-gt-rl",66158,Unresolved,6,0,0,0,0,"","","","",""
"PartsGT","wheel_gt1","vehicle.satsuma.part.wheel-gt-fl",70738,Unresolved,6,0,0,0,0,"","","","",""
"PartsMotor","timing chain(Clone)","vehicle.satsuma.part.timing-chain",36119,Unresolved,1,0,0,0,0,"","","","",""
"PartsMotor","electrics(Clone)","vehicle.satsuma.part.electrics",36856,Unresolved,3,0,0,0,0,"","","","",""
"PartsMotor","gearbox(Clone)","vehicle.satsuma.part.gearbox",37593,Unresolved,9,0,0,0,0,"","","","",""
"PartsMotor","carburator(Clone)","vehicle.satsuma.part.carburetor",38401,Unresolved,9,0,0,0,0,"","","","",""
"PartsMotor","head gasket(Clone)","vehicle.satsuma.part.head-gasket",39886,Unresolved,2,0,0,0,0,"","","","",""
"PartsMotor","cylinder head(Clone)","vehicle.satsuma.part.cylinder-head",41296,Unresolved,11,0,0,0,0,"","","","",""
"PartsMotor","starter(Clone)","vehicle.satsuma.part.starter",42346,Unresolved,3,0,0,0,0,"","","","",""
"PartsMotor","fuel pump(Clone)","vehicle.satsuma.part.fuel-pump",42583,Unresolved,3,0,0,0,0,"","","","",""
"PartsMotor","camshaft(Clone)","vehicle.satsuma.part.camshaft",42592,Unresolved,3,0,0,0,0,"","","","",""
"PartsMotor","piston4(Clone)","vehicle.satsuma.part.piston4",44101,Unresolved,8,0,0,0,0,"","","","",""
"PartsMotor","main bearing3(Clone)","vehicle.satsuma.part.main-bearing3",44228,Unresolved,3,0,0,0,0,"","","","",""
"PartsMotor","oilfilter0","vehicle.satsuma.part.oilfilter0",44366,Unresolved,1,0,0,0,0,"","","","",""
"PartsMotor","radiator hose2(Clone)","vehicle.satsuma.part.radiator-hose2",46587,Unresolved,2,0,0,0,0,"","","","",""
"PartsMotor","clutch disc(Clone)","vehicle.satsuma.part.clutch",50144,Unresolved,1,0,0,0,0,"","","","",""
"PartsMotor","inspection cover(Clone)","vehicle.satsuma.part.inspection-cover",52017,Unresolved,1,0,0,0,0,"","","","",""
"PartsMotor","oilpan(Clone)","vehicle.satsuma.part.oilpan",53416,Unresolved,12,0,0,0,0,"","","","",""
"PartsMotor","clutch cover plate(Clone)","vehicle.satsuma.part.clutch-cover-plate",53872,Unresolved,7,0,0,0,0,"","","","",""
"PartsMotor","piston1(Clone)","vehicle.satsuma.part.piston1",53913,Unresolved,8,0,0,0,0,"","","","",""
"PartsMotor","main bearing1(Clone)","vehicle.satsuma.part.main-bearing1",54164,Unresolved,3,0,0,0,0,"","","","",""
"PartsMotor","piston2(Clone)","vehicle.satsuma.part.piston2",54867,Unresolved,8,0,0,0,0,"","","","",""
"PartsMotor","piston3(Clone)","vehicle.satsuma.part.piston3",56076,Unresolved,8,0,0,0,0,"","","","",""
"PartsMotor","rocker shaft(Clone)","vehicle.satsuma.part.rocker-shaft",57286,Unresolved,17,0,0,0,0,"","","","",""
"PartsMotor","timing cover(Clone)","vehicle.satsuma.part.timing-cover",59431,Unresolved,7,0,0,0,0,"","","","",""
"PartsMotor","distributor(Clone)","vehicle.satsuma.part.distributor",59872,Unresolved,2,0,0,0,0,"","","","",""
"PartsMotor","main bearing2(Clone)","vehicle.satsuma.part.main-bearing2",60626,Unresolved,3,0,0,0,0,"","","","",""
"PartsMotor","clutch pressure plate(Clone)","vehicle.satsuma.part.clutch-pressure-plate",60910,Unresolved,1,0,0,0,0,"","","","",""
"PartsMotor","crankshaft pulley(Clone)","vehicle.satsuma.part.crankshaft-pulley",61025,Unresolved,2,0,0,0,0,"","","","",""
"PartsMotor","drive gear(Clone)","vehicle.satsuma.part.drive-gear",63233,Unresolved,8,0,0,0,0,"","","","",""
"PartsMotor","water pump(Clone)","vehicle.satsuma.part.water-pump",63990,Unresolved,6,0,0,0,0,"","","","",""
"PartsMotor","water pump pulley(Clone)","vehicle.satsuma.part.water-pump-pulley",64078,Unresolved,5,0,0,0,0,"","","","",""
"PartsMotor","airfilter(Clone)","vehicle.satsuma.part.airfilter",64280,Unresolved,3,0,0,0,0,"","","","",""
"PartsMotor","headers(Clone)","vehicle.satsuma.part.headers",64946,Unresolved,6,0,0,0,0,"","","","",""
"PartsMotor","camshaft gear(Clone)","vehicle.satsuma.part.camshaft-gear",64992,Unresolved,2,0,0,0,0,"","","","",""
"PartsMotor","rocker cover(Clone)","vehicle.satsuma.part.rocker-cover",66479,Unresolved,8,0,0,0,0,"","","","",""
"PartsMotor","flywheel(Clone)","vehicle.satsuma.part.flywheel",66698,Unresolved,7,0,0,0,0,"","","","",""
"PartsMotor","block(Clone)","vehicle.satsuma.part.engine-block",66906,Unresolved,2,0,0,0,0,"","","","",""
"PartsMotor","crankshaft(Clone)","vehicle.satsuma.part.crankshaft",68769,Unresolved,2,0,0,0,0,"","","","",""
"PartsMotor","engine plate(Clone)","vehicle.satsuma.part.engine-plate",70364,Unresolved,1,0,0,0,0,"","","","",""
"PartsMotor","alternator(Clone)","vehicle.satsuma.part.alternator",70621,Unresolved,6,0,0,0,0,"","","","",""
