Group,DonorLooseName,PartDefinitionId,LooseTransformId,Status,TopScore,CandidateCount,CandidateTransformIds,CandidateHierarchyPaths
"PartsCar","strut fl(Clone)","vehicle.satsuma.part.strut-fl",41289,UniqueCandidatePendingBehavioralReview,300,1,"49879","SATSUMA(557kg, 248)/Chassis/FL/strut fl(xxxxx)"
"PartsCar","stock steering wheel(Clone)","vehicle.satsuma.part.stock-steering-wheel",42060,Unresolved,0,0,"",""
"PartsCar","rear light left(Clone)","vehicle.satsuma.part.rear-light-left",43374,Unresolved,0,0,"",""
"PartsCar","fur dices(Clone)","vehicle.satsuma.part.fur-dices",44338,UniqueCandidatePendingBehavioralReview,300,1,"62745","SATSUMA(557kg, 248)/Interior/fur dices(xxxxx)"
"PartsCar","radiator hose3(Clone)","vehicle.satsuma.part.radiator-hose3",45342,UniqueCandidatePendingBehavioralReview,300,1,"64836","SATSUMA(557kg, 248)/MiscParts/radiator hose3(xxxxx)"
"PartsCar","mudflap rr(Clone)","vehicle.satsuma.part.mudflap-rr",45734,UniqueCandidatePendingBehavioralReview,300,1,"65455","SATSUMA(557kg, 248)/MiscParts/mudflap rr(xxxxx)"
"PartsCar","fender right(Clone)","vehicle.satsuma.part.fender-right",45852,Unresolved,0,0,"",""
"PartsCar","headlight left(Clone)","vehicle.satsuma.part.headlight-left",45890,UniqueCandidatePendingBehavioralReview,220,1,"70090","SATSUMA(557kg, 248)/MiscParts/pivot_headlight_left"
"PartsCar","exhaust muffler(Clone)","vehicle.satsuma.part.exhaust-muffler",46044,UniqueCandidatePendingBehavioralReview,220,1,"66340","SATSUMA(557kg, 248)/MiscParts/pivot_exhaust_muffler"
"PartsCar","steering rack(Clone)","vehicle.satsuma.part.steering-rack",46700,UniqueCandidatePendingBehavioralReview,300,1,"68773","SATSUMA(557kg, 248)/Chassis/steering rack(xxxxx)"
"PartsCar","halfshaft(Clone)","vehicle.satsuma.part.halfshaft-2",46849,Ambiguous,300,2,"48021;57559","SATSUMA(557kg, 248)/Chassis/FL/halfshaft_fl/halfshaft(xxxxx) | SATSUMA(557kg, 248)/Chassis/FR/halfshaft_fr/halfshaft(xxxxx)"
"PartsCar","hubcap(Clone)","vehicle.satsuma.part.hubcap-1",47037,Unresolved,0,0,"",""
"PartsCar","fuel strainer(Clone)","vehicle.satsuma.part.fuel-strainer",47094,UniqueCandidatePendingBehavioralReview,300,1,"36947","SATSUMA(557kg, 248)/MiscParts/fuel strainer(xxxxx)"
"PartsCar","gear stick(Clone)","vehicle.satsuma.part.gear-stick",47287,Ambiguous,300,3,"59024;70609;70613","SATSUMA(557kg, 248)/Dashboard/gear stick(xxxxx) | SATSUMA(557kg, 248)/Dashboard/gear stick(xxxxx)/GearLever/Pivot/Lever/gear_stick | SATSUMA(557kg, 248)/Dashboard/center console gt(xxxxx)/GearLever/Pivot/Lever/gear_stick"
"PartsCar","clutch lining(Clone)","vehicle.satsuma.part.clutch-lining",47661,UniqueCandidatePendingBehavioralReview,300,1,"52429","SATSUMA(557kg, 248)/MiscParts/clutch lining(xxxxx)"
"PartsCar","mudflap fl(Clone)","vehicle.satsuma.part.mudflap-fl",47786,Unresolved,0,0,"",""
"PartsCar","sub frame(Clone)","vehicle.satsuma.part.sub-frame",48029,UniqueCandidatePendingBehavioralReview,300,1,"47402","SATSUMA(557kg, 248)/Chassis/sub frame(xxxxx)"
"PartsCar","subwoofer panel(Clone)","vehicle.satsuma.part.subwoofer-panel",48319,Unresolved,0,0,"",""
"PartsCar","fuel tank(Clone)","vehicle.satsuma.part.fuel-tank",48576,Ambiguous,220,2,"46567;66251","SATSUMA(557kg, 248)/MiscParts/pivot_fuel_tank | SATSUMA(557kg, 248)/MiscParts/fuel tank pipe(xxxxx)"
"PartsCar","handbrake(Clone)","vehicle.satsuma.part.handbrake",48714,Ambiguous,300,2,"37515;65418","SATSUMA(557kg, 248)/MiscParts/HandBrake | SATSUMA(557kg, 248)/MiscParts/HandBrake/handbrake(xxxxx)"
"PartsCar","wheel_steel3","vehicle.satsuma.part.wheel-stock-rl",50534,Unresolved,0,0,"",""
"PartsCar","grille(Clone)","vehicle.satsuma.part.grille",51053,Unresolved,0,0,"",""
"PartsCar","steering rod fr(Clone)","vehicle.satsuma.part.steering-rod-fr",51647,UniqueCandidatePendingBehavioralReview,300,1,"38864","SATSUMA(557kg, 248)/Chassis/steering rod fr(xxxxx)"
"PartsCar","battery0","vehicle.satsuma.part.battery",51854,Unresolved,0,0,"",""
"PartsCar","mudflap rl(Clone)","vehicle.satsuma.part.mudflap-rl",52142,UniqueCandidatePendingBehavioralReview,300,1,"65054","SATSUMA(557kg, 248)/MiscParts/mudflap rl(xxxxx)"
"PartsCar","dashboard meters(Clone)","vehicle.satsuma.part.dashboard-meters",52392,Unresolved,0,0,"",""
"PartsCar","seat passenger(Clone)","vehicle.satsuma.part.seat-passenger",53013,UniqueCandidatePendingBehavioralReview,220,1,"45397","SATSUMA(557kg, 248)/Interior/pivot_seat_passenger"
"PartsCar","clutch master cylinder(Clone)","vehicle.satsuma.part.clutch-master-cylinder",53194,UniqueCandidatePendingBehavioralReview,300,1,"41150","SATSUMA(557kg, 248)/MiscParts/clutch master cylinder(xxxxx)"
"PartsCar","strut fr(Clone)","vehicle.satsuma.part.strut-fr",53284,UniqueCandidatePendingBehavioralReview,300,1,"51184","SATSUMA(557kg, 248)/Chassis/FR/strut fr(xxxxx)"
"PartsCar","steering column(Clone)","vehicle.satsuma.part.steering-column",53786,UniqueCandidatePendingBehavioralReview,300,1,"52534","SATSUMA(557kg, 248)/Dashboard/Steering/CarSteeringPivot/steering column(xxxxx)"
"PartsCar","drum brake(Clone)","vehicle.satsuma.part.drum-brake-2",54967,Unresolved,0,0,"",""
"PartsCar","brake master cylinder(Clone)","vehicle.satsuma.part.brake-master-cylinder",56655,UniqueCandidatePendingBehavioralReview,300,1,"60414","SATSUMA(557kg, 248)/MiscParts/brake master cylinder(xxxxx)"
"PartsCar","bootlid(Clone)","vehicle.satsuma.part.bootlid",57097,Unresolved,0,0,"",""
"PartsCar","shock absorber(Clone)","vehicle.satsuma.part.shock-absorber-2",58041,Ambiguous,220,4,"45970;51146;64556;69228","SATSUMA(557kg, 248)/Chassis/RR/ShockTop/Arm/shock absorber(rrxxx) | SATSUMA(557kg, 248)/Chassis/RL/ShockTop/Arm/shock absorber rally(rlxxx) | SATSUMA(557kg, 248)/Chassis/RR/ShockTop/Arm/shock absorber rally(rrxxx) | SATSUMA(557kg, 248)/Chassis/RL/ShockTop/Arm/shock absorber(rlxxx)"
"PartsCar","wishbone fr(Clone)","vehicle.satsuma.part.wishbone-fr",58410,UniqueCandidatePendingBehavioralReview,300,1,"70876","SATSUMA(557kg, 248)/Chassis/FR/Wishbone/Arm/IK_wishbone_fr/wishbone fr(xxxxx)"
"PartsCar","mudflap fr(Clone)","vehicle.satsuma.part.mudflap-fr",58945,Unresolved,0,0,"",""
"PartsCar","door left(Clone)","vehicle.satsuma.part.door-left",59626,UniqueCandidatePendingBehavioralReview,180,1,"38193","SATSUMA(557kg, 248)/Interior/Trim/panel_door_left2"
"PartsCar","clock gauge(Clone)","vehicle.satsuma.part.clock-gauge",60864,Unresolved,0,0,"",""
"PartsCar","wheel_steel2","vehicle.satsuma.part.wheel-stock-fr",61000,Unresolved,0,0,"",""
"PartsCar","brake lining(Clone)","vehicle.satsuma.part.brake-lining",61305,UniqueCandidatePendingBehavioralReview,300,1,"48439","SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)"
"PartsCar","radiator(Clone)","vehicle.satsuma.part.radiator",61313,UniqueCandidatePendingBehavioralReview,300,1,"71613","SATSUMA(557kg, 248)/MiscParts/radiator(xxxxx)"
"PartsCar","spindle fr(Clone)","vehicle.satsuma.part.spindle-fr",61863,UniqueCandidatePendingBehavioralReview,300,1,"58329","SATSUMA(557kg, 248)/FR/AckerFR/wheelFR/SpindleFR/OFFSET/spindle fr(xxxxx)"
"PartsCar","trail arm rr(Clone)","vehicle.satsuma.part.trail-arm-rr",62351,UniqueCandidatePendingBehavioralReview,300,1,"69310","SATSUMA(557kg, 248)/Chassis/RR/TrailArm/Arm/trail arm rr(xxxxx)"
"PartsCar","rear light right(Clone)","vehicle.satsuma.part.rear-light-right",62814,Unresolved,0,0,"",""
"PartsCar","headlight right(Clone)","vehicle.satsuma.part.headlight-right",63443,UniqueCandidatePendingBehavioralReview,220,1,"39003","SATSUMA(557kg, 248)/MiscParts/pivot_headlight_right"
"PartsCar","hubcap(Clone)","vehicle.satsuma.part.hubcap-2",63508,Unresolved,0,0,"",""
"PartsCar","wheel_steel4","vehicle.satsuma.part.wheel-stock-rr",63620,Unresolved,0,0,"",""
"PartsCar","hood(Clone)","vehicle.satsuma.part.hood",63703,Unresolved,0,0,"",""
"PartsCar","exhaust pipe(Clone)","vehicle.satsuma.part.exhaust-pipe",64076,UniqueCandidatePendingBehavioralReview,220,1,"59173","SATSUMA(557kg, 248)/MiscParts/pivot_exhaust pipe"
"PartsCar","disc brake(Clone)","vehicle.satsuma.part.disc-brake-2",64768,Unresolved,0,0,"",""
"PartsCar","radio(Clone)","vehicle.satsuma.part.radio",65305,UniqueCandidatePendingBehavioralReview,300,1,"52139","SATSUMA(557kg, 248)/Wiring/Triggers/Radio"
"PartsCar","door right(Clone)","vehicle.satsuma.part.door-right",66117,UniqueCandidatePendingBehavioralReview,180,1,"67327","SATSUMA(557kg, 248)/Interior/Trim/panel_door_right2"
"PartsCar","bumper front(Clone)","vehicle.satsuma.part.bumper-front",66293,Unresolved,0,0,"",""
"PartsCar","hubcap(Clone)","vehicle.satsuma.part.hubcap-3",66790,Unresolved,0,0,"",""
"PartsCar","gear linkage(Clone)","vehicle.satsuma.part.gear-linkage",67967,UniqueCandidatePendingBehavioralReview,300,1,"38941","SATSUMA(557kg, 248)/MiscParts/gear linkage(xxxxx)"
"PartsCar","fender left(Clone)","vehicle.satsuma.part.fender-left",68921,Unresolved,0,0,"",""
"PartsCar","hubcap(Clone)","vehicle.satsuma.part.hubcap-4",69098,Unresolved,0,0,"",""
"PartsCar","coil spring(Clone)","vehicle.satsuma.part.coil-spring-1",69338,Ambiguous,220,4,"38383;48072;65934;69969","SATSUMA(557kg, 248)/Chassis/RR/coil spring rally(rrxxx) | SATSUMA(557kg, 248)/Chassis/RR/coil spring(rrxxx) | SATSUMA(557kg, 248)/Chassis/RL/coil spring rally(rlxxx) | SATSUMA(557kg, 248)/Chassis/RL/coil spring(rlxxx)"
"PartsCar","spindle fl(Clone)","vehicle.satsuma.part.spindle-fl",69454,UniqueCandidatePendingBehavioralReview,300,1,"57671","SATSUMA(557kg, 248)/FL/AckerFL/wheelFL/SpindleFL/OFFSET/spindle fl(xxxxx)"
"PartsCar","wheel_steel1","vehicle.satsuma.part.wheel-stock-fl",70305,Unresolved,0,0,"",""
"PartsCar","seat rear(Clone)","vehicle.satsuma.part.seat-rear",71066,UniqueCandidatePendingBehavioralReview,220,1,"61781","SATSUMA(557kg, 248)/Interior/pivot_seat_rear"
"PartsCar","steering rod fl(Clone)","vehicle.satsuma.part.steering-rod-fl",71283,UniqueCandidatePendingBehavioralReview,300,1,"60493","SATSUMA(557kg, 248)/Chassis/steering rod fl(xxxxx)"
"PartsCar","seat driver(Clone)","vehicle.satsuma.part.seat-driver",71493,UniqueCandidatePendingBehavioralReview,220,1,"65564","SATSUMA(557kg, 248)/Interior/pivot_seat_driver"
"PartsCar","trail arm rl(Clone)","vehicle.satsuma.part.trail-arm-rl",71641,UniqueCandidatePendingBehavioralReview,300,1,"47549","SATSUMA(557kg, 248)/Chassis/RL/TrailArm/Arm/trail arm rl(xxxxx)"
"PartsCar","coil spring(Clone)","vehicle.satsuma.part.coil-spring-2",71814,Ambiguous,220,4,"38383;48072;65934;69969","SATSUMA(557kg, 248)/Chassis/RR/coil spring rally(rrxxx) | SATSUMA(557kg, 248)/Chassis/RR/coil spring(rrxxx) | SATSUMA(557kg, 248)/Chassis/RL/coil spring rally(rlxxx) | SATSUMA(557kg, 248)/Chassis/RL/coil spring(rlxxx)"
"PartsExtra","long coil spring(Clone)","vehicle.satsuma.part.extra-long-coil-spring-1",52653,Ambiguous,220,2,"47793;66494","SATSUMA(557kg, 248)/Chassis/RR/long coil spring(rrxxx) | SATSUMA(557kg, 248)/Chassis/RL/long coil spring(rlxxx)"
"PartsExtra","dash cover suomi(Clone)","vehicle.satsuma.part.extra-dash-cover-suomi",61507,Unresolved,0,0,"",""
"PartsExtra","long coil spring(Clone)","vehicle.satsuma.part.extra-long-coil-spring-2",65271,Ambiguous,220,2,"47793;66494","SATSUMA(557kg, 248)/Chassis/RR/long coil spring(rrxxx) | SATSUMA(557kg, 248)/Chassis/RL/long coil spring(rlxxx)"
"PartsExtra","wheel cover suomi(Clone)","vehicle.satsuma.part.extra-wheel-cover-suomi",68715,Unresolved,0,0,"",""
"PartsExtra","seat cover suomi(Clone)","vehicle.satsuma.part.extra-seat-cover-suomi",68820,Unresolved,0,0,"",""
"PartsGT","rocker cover gt(Clone)","vehicle.satsuma.part.gt-rocker-cover-gt",40984,Unresolved,0,0,"",""
"PartsGT","wheel_gt4","vehicle.satsuma.part.wheel-gt-rr",46605,Unresolved,0,0,"",""
"PartsGT","wheel_gt2","vehicle.satsuma.part.wheel-gt-fr",53724,Unresolved,0,0,"",""
"PartsGT","gt steering wheel(Clone)","vehicle.satsuma.part.gt-gt-steering-wheel",56665,Unresolved,0,0,"",""
"PartsGT","wheel_gt3","vehicle.satsuma.part.wheel-gt-rl",66158,Unresolved,0,0,"",""
"PartsGT","wheel_gt1","vehicle.satsuma.part.wheel-gt-fl",70738,Unresolved,0,0,"",""
"PartsMotor","timing chain(Clone)","vehicle.satsuma.part.timing-chain",36119,Unresolved,0,0,"",""
"PartsMotor","electrics(Clone)","vehicle.satsuma.part.electrics",36856,UniqueCandidatePendingBehavioralReview,300,1,"58734","SATSUMA(557kg, 248)/CarSimulation/Car/Electrics"
"PartsMotor","gearbox(Clone)","vehicle.satsuma.part.gearbox",37593,Ambiguous,220,2,"40854;43830","SATSUMA(557kg, 248)/Chassis/FL/halfshaft_fl/halfshaft(xxxxx)/gearbox_axle2 | SATSUMA(557kg, 248)/Chassis/FR/halfshaft_fr/halfshaft(xxxxx)/gearbox_axle2"
"PartsMotor","carburator(Clone)","vehicle.satsuma.part.carburetor",38401,Unresolved,0,0,"",""
"PartsMotor","head gasket(Clone)","vehicle.satsuma.part.head-gasket",39886,Unresolved,0,0,"",""
"PartsMotor","cylinder head(Clone)","vehicle.satsuma.part.cylinder-head",41296,Unresolved,0,0,"",""
"PartsMotor","starter(Clone)","vehicle.satsuma.part.starter",42346,UniqueCandidatePendingBehavioralReview,300,1,"45544","SATSUMA(557kg, 248)/CarSimulation/Car/Starter"
"PartsMotor","fuel pump(Clone)","vehicle.satsuma.part.fuel-pump",42583,Unresolved,0,0,"",""
"PartsMotor","camshaft(Clone)","vehicle.satsuma.part.camshaft",42592,Unresolved,0,0,"",""
"PartsMotor","piston4(Clone)","vehicle.satsuma.part.piston4",44101,Unresolved,0,0,"",""
"PartsMotor","main bearing3(Clone)","vehicle.satsuma.part.main-bearing3",44228,Unresolved,0,0,"",""
"PartsMotor","oilfilter0","vehicle.satsuma.part.oilfilter0",44366,Unresolved,0,0,"",""
"PartsMotor","radiator hose2(Clone)","vehicle.satsuma.part.radiator-hose2",46587,Ambiguous,100,2,"64836;66320","SATSUMA(557kg, 248)/MiscParts/radiator hose3(xxxxx) | SATSUMA(557kg, 248)/MiscParts/radiator hose1(xxxxx)"
"PartsMotor","clutch disc(Clone)","vehicle.satsuma.part.clutch",50144,Unresolved,0,0,"",""
"PartsMotor","inspection cover(Clone)","vehicle.satsuma.part.inspection-cover",52017,Unresolved,0,0,"",""
"PartsMotor","oilpan(Clone)","vehicle.satsuma.part.oilpan",53416,Unresolved,0,0,"",""
"PartsMotor","clutch cover plate(Clone)","vehicle.satsuma.part.clutch-cover-plate",53872,Unresolved,0,0,"",""
"PartsMotor","piston1(Clone)","vehicle.satsuma.part.piston1",53913,Unresolved,0,0,"",""
"PartsMotor","main bearing1(Clone)","vehicle.satsuma.part.main-bearing1",54164,Unresolved,0,0,"",""
"PartsMotor","piston2(Clone)","vehicle.satsuma.part.piston2",54867,Unresolved,0,0,"",""
"PartsMotor","piston3(Clone)","vehicle.satsuma.part.piston3",56076,Unresolved,0,0,"",""
"PartsMotor","rocker shaft(Clone)","vehicle.satsuma.part.rocker-shaft",57286,Unresolved,0,0,"",""
"PartsMotor","timing cover(Clone)","vehicle.satsuma.part.timing-cover",59431,Unresolved,0,0,"",""
"PartsMotor","distributor(Clone)","vehicle.satsuma.part.distributor",59872,Unresolved,0,0,"",""
"PartsMotor","main bearing2(Clone)","vehicle.satsuma.part.main-bearing2",60626,Unresolved,0,0,"",""
"PartsMotor","clutch pressure plate(Clone)","vehicle.satsuma.part.clutch-pressure-plate",60910,Unresolved,0,0,"",""
"PartsMotor","crankshaft pulley(Clone)","vehicle.satsuma.part.crankshaft-pulley",61025,Unresolved,0,0,"",""
"PartsMotor","drive gear(Clone)","vehicle.satsuma.part.drive-gear",63233,Unresolved,0,0,"",""
"PartsMotor","water pump(Clone)","vehicle.satsuma.part.water-pump",63990,Unresolved,0,0,"",""
"PartsMotor","water pump pulley(Clone)","vehicle.satsuma.part.water-pump-pulley",64078,Unresolved,0,0,"",""
"PartsMotor","airfilter(Clone)","vehicle.satsuma.part.airfilter",64280,Unresolved,0,0,"",""
"PartsMotor","headers(Clone)","vehicle.satsuma.part.headers",64946,UniqueCandidatePendingBehavioralReview,180,1,"58024","SATSUMA(557kg, 248)/CarSimulation/Exhaust/FromHeaders"
"PartsMotor","camshaft gear(Clone)","vehicle.satsuma.part.camshaft-gear",64992,Unresolved,0,0,"",""
"PartsMotor","rocker cover(Clone)","vehicle.satsuma.part.rocker-cover",66479,Unresolved,0,0,"",""
"PartsMotor","flywheel(Clone)","vehicle.satsuma.part.flywheel",66698,Unresolved,0,0,"",""
"PartsMotor","block(Clone)","vehicle.satsuma.part.engine-block",66906,Unresolved,0,0,"",""
"PartsMotor","crankshaft(Clone)","vehicle.satsuma.part.crankshaft",68769,Unresolved,0,0,"",""
"PartsMotor","engine plate(Clone)","vehicle.satsuma.part.engine-plate",70364,Unresolved,0,0,"",""
"PartsMotor","alternator(Clone)","vehicle.satsuma.part.alternator",70621,UniqueCandidatePendingBehavioralReview,220,1,"66635","SATSUMA(557kg, 248)/Wiring/Parts/wiring_alternator(xxxxx)"
