ComponentId,HierarchyPath,FsmName,StateName,Transitions,ActionSequence,GameObjectReferences,NamedValues,StringParameters,ParameterNames,ByteDataAscii
107955,"SATSUMA(557kg, 248)/Wiring","Status","Fueltank","FINISHED->Amp power","GetFsmBool;ActivateGameObject","db_Fueltank=12246[Database/DatabaseMechanics/FuelTank];tFueltankConnector=9923[SATSUMA(557kg, 248)/Wiring/Triggers/Fueltank/TankConnector]","","Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed1"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Amp power","FINISHED->Amp audio","GetFsmBool;ActivateGameObject;ActivateGameObject","db_Amplifier=11599[Database/DatabaseOrders/Amplifier];tAmpPower=21309[SATSUMA(557kg, 248)/Wiring/Triggers/AmplifierPower/AmplifierHarness];tAmpRadio=35781[SATSUMA(557kg, 248)/Wiring/Triggers/AmplifierAudio/AmplifierRadio]","","Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed1|Installed1"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Amp audio","FINISHED->Sub left","GetFsmBool;GetFsmBool;BoolAllTrue;ActivateGameObject","db_Dash=24983[Database/DatabaseMechanics/Dashboard];db_CDplayer=14325[Database/DatabaseOrders/CD_player];tRadioAmplifier=35735[SATSUMA(557kg, 248)/Wiring/Triggers/AmplifierAudio/RadioAmplifier]","","Data;Installed;Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;boolVariables;-;sendEvent;storeResult;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed2|Installed1|Installed2|BoolState1|BoolState1"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Sub left","FINISHED->Sub right","GetFsmBool;GetFsmBool;GetFsmBool;BoolAllTrue;ActivateGameObject;ActivateGameObject","db_SubLeft=32048[Database/DatabaseOrders/Subwoofer_Left];db_SubPanel=18166[Database/DatabaseBody/Subwoofer_panel];db_Amplifier=11599[Database/DatabaseOrders/Amplifier];tSubLeftAmp=24272[SATSUMA(557kg, 248)/Wiring/Triggers/SubwooferLeft/SubwooferAmplifier];tAmpSubLeft=28632[SATSUMA(557kg, 248)/Wiring/Triggers/SubwooferLeft/AmplifierSubwoofer]","","Data;Installed;Data;Installed;Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;boolVariables;-;- sendEvent;storeResult;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed2|Installed3|Installed1|Installed2|Installed3|BoolState1|BoolState1|BoolState1"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Sub right","FINISHED->Gauges","GetFsmBool;GetFsmBool;GetFsmBool;BoolAllTrue;ActivateGameObject;ActivateGameObject","db_SubRight=29458[Database/DatabaseOrders/Subwoofer_Right];db_SubPanel=18166[Database/DatabaseBody/Subwoofer_panel];db_Amplifier=11599[Database/DatabaseOrders/Amplifier];tSubRightAmp=14161[SATSUMA(557kg, 248)/Wiring/Triggers/SubwooferRight/SubwooferAmplifier];tAmpSubRight=19119[SATSUMA(557kg, 248)/Wiring/Triggers/SubwooferRight/AmplifierSubwoofer]","","Data;Installed;Data;Installed;Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;boolVariables;-;- sendEvent;storeResult;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed2|Installed3|Installed1|Installed2|Installed3|BoolState1|BoolState1|BoolState1"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Gauges","FINISHED->Radiatorfan","GetFsmBool;GetFsmBool;ActivateGameObject;ActivateGameObject","db_GaugeAFR=3164[Database/DatabaseOrders/Fuel Mixture Gauge];db_GaugeExtra=3050[Database/DatabaseOrders/ExtraGauges];tGaugeAFR=33202[SATSUMA(557kg, 248)/Wiring/Triggers/GaugeAFR/GaugeHarness];tGaugeExtra=1758[SATSUMA(557kg, 248)/Wiring/Triggers/GaugeExtra/GaugeHarness]","","Data;Installed;Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed2|Installed1|Installed2"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Starter 3","NOMOTOR->Disable battery wires;FINISHED->Ground wire","GetFsmBool;GetFsmBool;GetFsmBool;BoolNoneTrue;BoolNoneTrue","db_Block=35519[Database/DatabaseMotor/Block];db_Battery=26601[Database/PartsStatus/Battery];db_Starter=1999[Database/DatabaseMotor/Starter]","","Data;Installed;Data;Installed;Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;boolVariables;-;sendEvent;storeResult;everyFrame;boolVariables;-;sendEvent;storeResult;everyFrame","Installed1|Installed2|Installed3|Installed1|Installed2NOMOTOR|Installed2|Installed3NOMOTOR"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Disable battery wires","FINISHED->Battery","ActivateGameObject;ActivateGameObject;ActivateGameObject;ActivateGameObject;ActivateGameObject;ActivateGameObject;SetFsmBool;SetFsmBool;SetFsmBool;SetFsmBool","tStarterBatteryMinus=32759[SATSUMA(557kg, 248)/Wiring/Triggers/GroundBattery/StarterBatteryMinus];tStarterBatteryPlus=25097[SATSUMA(557kg, 248)/Wiring/Triggers/StarterBattery/StarterBatteryPlus];db_BatteryTerMinus=3446[Database/DatabaseWiring/WiringBatteryMinus];db_BatteryGround=7904[Database/DatabaseWiring/WiringGround1]","","Data;Bolted;Data;Installed;Data;Bolted;Data;Installed","activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;fsmName;variableName;setValue;everyFrame;gameObject;fsmName;variableName;setValue;everyFrame;gameObject;fsmName;variableName;setValue;everyFrame;gameObject;fsmName;variableName;setValue;everyFrame",""
107955,"SATSUMA(557kg, 248)/Wiring","Status","State 2","FINISHED->State 1","Wait","","","","finishEvent;realTime","?@|FINISHED"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Radiatorfan","FINISHED->Battery charge?","GetFsmBool;GetFsmBool;BoolAnyTrue;ActivateGameObject","db_Radiator=34917[Database/DatabaseMechanics/Radiator];db_RadiatorRacing=11989[Database/DatabaseOrders/Racing Radiator];tRadiatorfanHarness=22632[SATSUMA(557kg, 248)/Wiring/Triggers/RadiatorfanHarness/RadiatorfanHarness]","","Data;Installed;Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;boolVariables;-;sendEvent;storeResult;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed2|Installed1|Installed2|BoolState1|BoolState1"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Disable triggers","FINISHED->Starter 3","ActivateGameObject;ActivateGameObject;ActivateGameObject;ActivateGameObject","tStarterBatteryPlus=25097[SATSUMA(557kg, 248)/Wiring/Triggers/StarterBattery/StarterBatteryPlus];tStarterBatteryMinus=32759[SATSUMA(557kg, 248)/Wiring/Triggers/GroundBattery/StarterBatteryMinus];tCoilHarness=16562[SATSUMA(557kg, 248)/Wiring/Triggers/CoilHarness/CoilHarness];tAlternatorRegulator=8271[SATSUMA(557kg, 248)/Wiring/Triggers/AlternatorRegulator/AlternatorRegulator]","","","activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame",""
107955,"SATSUMA(557kg, 248)/Wiring","Status","Ground wire","FINISHED->Battery","GetFsmBool;ActivateGameObject;ActivateGameObject","db_BatteryGround=7904[Database/DatabaseWiring/WiringGround1]","","Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed1|Installed1"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Markers","FINISHED->Fueltank","GetFsmBool;GetFsmBool;ActivateGameObject;ActivateGameObject","db_MarkerLeft=21418[Database/DatabaseOrders/Marker Light Left];db_MarkerRight=8361[Database/DatabaseOrders/Marker Light Right];tMarkerLeftConnector=19143[SATSUMA(557kg, 248)/Wiring/Triggers/MarkerLeft/LightConnector];tMarkerRightConnector=10037[SATSUMA(557kg, 248)/Wiring/Triggers/MarkerRight/LightConnector]","","Data;Installed;Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed2|Installed1|Installed2"
107955,"SATSUMA(557kg, 248)/Wiring","Status","FINISHED","","","","","","",""
107955,"SATSUMA(557kg, 248)/Wiring","Status","CHECK","","","","","","",""
107955,"SATSUMA(557kg, 248)/Wiring","Status","FIRE","","","","","","",""
107955,"SATSUMA(557kg, 248)/Wiring","Status","NOMOTOR","","","","","","",""
107956,"SATSUMA(557kg, 248)/Wiring","Shock","Shock","","","","","","",""
107956,"SATSUMA(557kg, 248)/Wiring","Shock","Battery charge?","OFF->State 2;FINISHED->Plus?","SetBoolValue;SetStringValue;GetFsmBool;BoolTest;GetFsmBool;BoolTest;GetFsmFloat;FloatCompare","db_Battery=26601[Database/PartsStatus/Battery];db_BatteryPlusShoe=21525[Database/DatabaseWiring/WiringBatteryPlus]","","- useVariable: 0;- useVariable: 0;Data;Installed;Data;Bolted;Data;Charge","boolValue;everyFrame;stringVariable;stringValue;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;boolVariable;isTrue;isFalse;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;boolVariable;isTrue;isFalse;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;float1;float2;tolerance;equal;lessThan;greaterThan;everyFrame","GUIassemble|Installed1|Installed1OFF|Installed2|Installed2OFF|Charge|Charge|?B|OFFOFFFINISHED"
107956,"SATSUMA(557kg, 248)/Wiring","Shock","Plus?","OFF->State 2;FINISHED->Spark","GetFsmBool;BoolTest","db_BatteryHarness=30568[Database/DatabaseWiring/WiringBatteryHarness]","","Data;Installed","fsmName;variableName;storeValue;everyFrame;boolVariable;isTrue;isFalse;everyFrame","Installed1|Installed1FINISHEDOFF"
107956,"SATSUMA(557kg, 248)/Wiring","Shock","State 2","","","","","","",""
107956,"SATSUMA(557kg, 248)/Wiring","Shock","Spark","FINISHED->Random","SetParent;GetPosition;SetPosition;SetParent;Wait","Spark=31196[SATSUMA(557kg, 248)/Wiring/FireElectric/Sparks];WiringTool=0[]","","","parent;resetLocalPosition;resetLocalRotation;gameObject;vector;x;y;z;space;everyFrame;gameObject;vector;x;y;z;space;everyFrame;lateUpdate;gameObject;parent;resetLocalPosition;resetLocalRotation;time;finishEvent;realTime","Pos|Pos|?|FINISHED"
107956,"SATSUMA(557kg, 248)/Wiring","Shock","Random","OFF->Reset;DIE->Death","SendRandomEvent","","","","-;weights;-;delay","DIEOFF|??;|R?~?"
107956,"SATSUMA(557kg, 248)/Wiring","Shock","Reset","FINISHED->Shock","SetParent","Spark=31196[SATSUMA(557kg, 248)/Wiring/FireElectric/Sparks]","","","parent;resetLocalPosition;resetLocalRotation",""
107956,"SATSUMA(557kg, 248)/Wiring","Shock","Death","","SetFsmBool;ActivateGameObject","Death=12495[Systems/Death]","","Activate Dead Body;Electrocute","fsmName;variableName;setValue;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame",""
107956,"SATSUMA(557kg, 248)/Wiring","Shock","Battery charge? 2","OFF->State 2;FINISHED->Plus? 2","SetBoolValue;SetStringValue;GetFsmBool;BoolTest;GetFsmBool;BoolTest;GetFsmBool;BoolTest;GetFsmFloat;FloatCompare","db_Block=35519[Database/DatabaseMotor/Block];db_Battery=26601[Database/PartsStatus/Battery];db_BatteryPlusShoe=21525[Database/DatabaseWiring/WiringBatteryPlus]","","- useVariable: 0;- useVariable: 0;Data;Installed;Data;Installed;Data;Bolted;Data;Charge","boolValue;everyFrame;stringVariable;stringValue;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;boolVariable;isTrue;isFalse;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;boolVariable;isTrue;isFalse;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;boolVariable;isTrue;isFalse;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;float1;float2;tolerance;equal;lessThan;greaterThan;everyFrame","GUIassemble|Installed1|Installed1OFF|Installed2|Installed2OFF|Installed3|Installed3OFF|Charge|Charge|?B|OFFOFFFINISHED"
107956,"SATSUMA(557kg, 248)/Wiring","Shock","Plus? 2","OFF->State 2;FINISHED->Spark 2","GetFsmBool;BoolTest","db_BatteryHarness=30568[Database/DatabaseWiring/WiringBatteryHarness]","","Data;Installed","fsmName;variableName;storeValue;everyFrame;boolVariable;isTrue;isFalse;everyFrame","Installed1|Installed1FINISHEDOFF"
107956,"SATSUMA(557kg, 248)/Wiring","Shock","Spark 2","FINISHED->Random","SetParent;GetPosition;SetPosition;SetParent;Wait","Spark=31196[SATSUMA(557kg, 248)/Wiring/FireElectric/Sparks];SparkPoint=0[]","","","parent;resetLocalPosition;resetLocalRotation;gameObject;vector;x;y;z;space;everyFrame;gameObject;vector;x;y;z;space;everyFrame;lateUpdate;gameObject;parent;resetLocalPosition;resetLocalRotation;time;finishEvent;realTime","Pos|Pos|?|FINISHED"
107956,"SATSUMA(557kg, 248)/Wiring","Shock","FINISHED","","","","","","",""
107956,"SATSUMA(557kg, 248)/Wiring","Shock","DIE","","","","","","",""
107956,"SATSUMA(557kg, 248)/Wiring","Shock","HOTINSTALL","","","","","","",""
107956,"SATSUMA(557kg, 248)/Wiring","Shock","OFF","","","","","","",""
107956,"SATSUMA(557kg, 248)/Wiring","Shock","RESETWIRING","","","Death=12495[Systems/Death];Spark=31196[SATSUMA(557kg, 248)/Wiring/FireElectric/Sparks];SparkPoint=0[];db_Battery=26601[Database/PartsStatus/Battery];db_BatteryHarness=30568[Database/DatabaseWiring/WiringBatteryHarness];db_BatteryPlusShoe=21525[Database/DatabaseWiring/WiringBatteryPlus];db_Block=35519[Database/DatabaseMotor/Block]","Charge=0;Installed1=0;Installed2=0;Installed3=0;Pos={x: 0, y: 0, z: 0}","","",""
113854,"SATSUMA(557kg, 248)/Wiring/FireElectric","Init","Sparks","FINISHED->Fire;OFF->Off","ActivateGameObject;ActivateGameObject;ActivateGameObject;SubtractFsmFloat;RandomFloat;BoolTest;Wait","db_Battery=26601[Database/PartsStatus/Battery]","","Data;Charge","activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;fsmName;variableName;subtractValue;everyFrame;perSecond;min;max;storeResult;boolVariable;isTrue;isFalse;everyFrame;time;finishEvent;realTime","??|A|pA|Time|OffOFF|TimeFINISHED"
113854,"SATSUMA(557kg, 248)/Wiring/FireElectric","Init","Spread","FINISHED->Off","ActivateGameObject;RandomFloat;Wait","","","","activate;recursive;resetOnExit;everyFrame;min;max;storeResult;time;finishEvent;realTime","A|pA|Time|TimeFINISHED"
113854,"SATSUMA(557kg, 248)/Wiring/FireElectric","Init","Fire","FINISHED->Spread","GetFsmGameObject;SendEventByName;ActivateGameObject;RandomFloat;Wait","DestroyedPart=0[];Point=0[]","","Assemble;db_ThisPart;DESTROY","fsmName;variableName;storeValue;everyFrame;eventTarget;sendEvent;delay;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;min;max;storeResult;time;finishEvent;realTime","A|pA|Time|TimeFINISHED"
113854,"SATSUMA(557kg, 248)/Wiring/FireElectric","Init","Randomize pos","LOOP->State 1;FINISHED->Position","ArrayListGetRandom;IsActive","Point=0[]","","","reference;randomItem;randomIndex;failureEvent;gameObject;isActive;isActiveEvent;isNotActiveEvent;everyFrame","LOOPFINISHED"
113854,"SATSUMA(557kg, 248)/Wiring/FireElectric","Init","Position","FINISHED->Sparks","GetPosition;SetPosition","Point=0[]","","","vector;x;y;z;space;everyFrame;gameObject;vector;x;y;z;space;everyFrame;lateUpdate","Pos|Pos"
113854,"SATSUMA(557kg, 248)/Wiring/FireElectric","Init","State 1","FINISHED->Randomize pos","Wait","","","","finishEvent;realTime","?#<|FINISHED"
113854,"SATSUMA(557kg, 248)/Wiring/FireElectric","Init","Reset","FINISHED->Randomize pos","SetBoolValue","","","","boolValue;everyFrame","Off"
113854,"SATSUMA(557kg, 248)/Wiring/FireElectric","Init","Off","","ActivateGameObject","","","","activate;recursive;resetOnExit;everyFrame",""
113854,"SATSUMA(557kg, 248)/Wiring/FireElectric","Init","FINISHED","","","","","","",""
113854,"SATSUMA(557kg, 248)/Wiring/FireElectric","Init","LOOP","","","","","","",""
109981,"SATSUMA(557kg, 248)/Wiring/FireElectric/FireTrigger","PutOut","Wait","FINISHED->Fight fire;PUTOUT->Fire off","GetFsmBool;BoolTest;BoolTest","","","Electrics;InWater","fsmName;variableName;storeValue;everyFrame;boolVariable;isTrue;isFalse;everyFrame;boolVariable;isTrue;isFalse;everyFrame","InWater|InWaterPUTOUT|HitFINISHED"
109981,"SATSUMA(557kg, 248)/Wiring/FireElectric/FireTrigger","PutOut","Fight fire","FINISHED->Wait;PUTOUT->Fire off","SetBoolValue;FloatSubtract;FloatCompare;Wait","","","","boolValue;everyFrame;floatVariable;subtract;everyFrame;perSecond;float1;float2;tolerance;equal;lessThan;greaterThan;everyFrame;time;finishEvent;realTime","Hit|?B|Fire|pA|?B|Fire|PUTOUTPUTOUT|??L?|FINISHED"
109981,"SATSUMA(557kg, 248)/Wiring/FireElectric/FireTrigger","PutOut","Fire off","FINISHED->Reset","ActivateGameObject;Wait","","","","activate;recursive;resetOnExit;everyFrame;time;finishEvent;realTime","??|FINISHED"
109981,"SATSUMA(557kg, 248)/Wiring/FireElectric/FireTrigger","PutOut","Reset","","ActivateGameObject;ActivateGameObject;SetFloatValue;SetBoolValue;ActivateGameObject","","","","activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;floatVariable;floatValue;everyFrame;boolVariable;boolValue;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","?B|Fire|?B|Hit"
109981,"SATSUMA(557kg, 248)/Wiring/FireElectric/FireTrigger","PutOut","FINISHED","","","","","","",""
109981,"SATSUMA(557kg, 248)/Wiring/FireElectric/FireTrigger","PutOut","GLOBALEVENT","","","","","","",""
110857,"SATSUMA(557kg, 248)/Wiring/Parts/battery_terminal_plus(xxxxx)","BoltCheck","Bolts OFF","FINISHED->Bolts ON","FloatClamp;SetFsmBool;FloatCompare","db_ThisPart=21525[Database/DatabaseWiring/WiringBatteryPlus]","","Data;Bolted","minValue;maxValue;everyFrame;gameObject;fsmName;variableName;setValue;everyFrame;float1;float2;tolerance;equal;lessThan;greaterThan;everyFrame","Tightness|A|TightnessMax|Tightness|??|BoltedYES|FINISHEDFINISHED"
